ngram,score
дивний запах,0.35244216139567125
жахлива звукоізоляція,0.35244216139567114
номері погана,0.35244216139567114
номері погано,0.35244216139567114
скрипучі ліжко,0.35244216139567114
погана вентиляція,0.35244216139567114
слабкий натиск,0.35244216139567114
відсутня звукоізоляція,0.35244216139567114
погана звукоізоляція,0.349637990349711
запах ванній,0.349575520744068
сильний запах,0.3490089855572772
слабка звукоізоляція,0.3488968806310215
відсутність шумоізоляції,0.348714288876428
слабка шумоізоляція,0.34824604680206306
погана шумоізоляція,0.3474310156223394
затхле запах,0.3474213600206203
двері туалет,0.3474213600206203
чути розмови,0.347047129508965
незручне ліжко,0.347047129508965
стійкий запах,0.3468382838776726
сильна сутність,0.34680189404297845
відсутність одноразових,0.3466898325065798
поганому стані,0.3464517977064837
жахливий запах,0.34636801368347797
звукоізоляція відсутня,0.34636801368347797
відсутність кондиціонера,0.34619321211866966
відсутність холодильника,0.3461019833646521
сіток вікнах,0.34520375247175183
завадив би,0.34482276452547916
одна розетка,0.34482276452547916
номері брудно,0.344424189379823
номері відсутність,0.34416963542968126
відбувається коридорі,0.3438759175648597
номері запах,0.3437559822105785
стіни чути,0.34334665656114155
запах каналізації,0.34315660009763066
спати неможливо,0.3427135582021019
незручні подушки,0.34238083538777536
неприємний запах,0.3422512090623988
погано працював,0.34222299621398516
брудний номер,0.3421013280574524
відсутність тапочок,0.34189197906236296
висока сутність,0.34184908789824703
постійний шум,0.34184908789824703
відсутність чайника,0.3415387983853465
довелося дзвонити,0.3414467770942079
пів ночі,0.3414467770942079
звукоізоляція чутно,0.3412339398040362
тонкі стіни,0.3411774078682728
номері відсутній,0.3410626156521724
відсутність парковки,0.34101269961488934
прийняття душу,0.340962343712241
шумоізоляція чути,0.340962343712241
погане освітлення,0.340860288845856
відсутність можливості,0.34070375812442705
каналізації номері,0.3405429380959634
довелося спати,0.34043325392265583
шумоізоляція чутно,0.34041107397413567
спати можливо,0.3403776499942905
чути відбувається,0.3403776499942905
відсутність гарячої,0.3402762543406365
запах вогкості,0.3400682622155726
відро сміття,0.33985303408765066
відсутність звукоізоляції,0.3397053399927386
потребує ремонту,0.3396409762309455
звукоізоляція чути,0.3393796885564293
цілу ніч,0.3393468633055235
відсутність фена,0.3393468633055235
сусідньому номері,0.3389861785465512
запах кімнаті,0.33879828072912505
звукоізоляція погана,0.33876246410447863
галасливі сусіди,0.33820172228106093
чужі волосся,0.33788344122474623
неможливо спати,0.3376183850786469
стіни чутно,0.33737841495979526
сусіднього номера,0.3372782201313654
слабкий напір,0.3372021948389342
сусідній номер,0.3370218025281774
шумоізоляція відсутня,0.3369299952174236
поверх ліфта,0.3365515662799376
сусідніх номерах,0.33654275089225416
повна відсутність,0.3365321595063837
маленька ванна,0.3365029602942234
шумоізоляція погана,0.33645405601154077
волосся ліжку,0.33645405601154077
запах сигарет,0.3364294911492982
жахливому стані,0.33635534150221635
душі вода,0.33605174520750175
відсутність ліфта,0.3360040179167342
ледь тепла,0.3358956084156337
старий телевізор,0.33518315595416553
душовій кабіні,0.3348569865945583
велика сутність,0.33453057208696896
двері номер,0.33415337568336145
відбувається сусідньому,0.33395875570165795
холодно номері,0.3335784072769068
туалетного паперу,0.3334881214929993
чутно відбувається,0.33326815356105877
старі меблі,0.33302912035153615
номері душно,0.33284660533229043
величезний мінус,0.33284660533229043
відсутність номері,0.332698103199914
москітну сіток,0.33247108046505114
номері одна,0.33247108046505114
пульт телевізора,0.33208087874796344
номер брудний,0.3318556306138936
двері ванну,0.3315442373664536
сутність номерах,0.33125286232573303
відбувається сусідніх,0.3310440166944407
поганий інтернет,0.3309911603100387
погано працює,0.33078310080680706
забитий слив,0.33044786768950324
постільній білизні,0.3303920206525971
вхідні двері,0.33007011764065625
рідкого мила,0.3298763334969298
сніданок убогий,0.329579278436167
убогий сніданок,0.329579278436167
хороша сутність,0.3291410839868204
номері холодно,0.32877282295211135
сніданок жахливий,0.3284418849919047
незручне розташування,0.32830848167895177
попередніх гостей,0.32830848167895177
залишає бажати,0.3281026061207456
попередніх мешканців,0.3280828155362265
маленька кімната,0.3279300115182648
розеток біля,0.32733144081264004
працював ліфт,0.3272586153774223
яко кажучи,0.327074689707377
проблеми гарячою,0.3270375816215765
сусіднього будинку,0.3270375816215765
душовій кабінці,0.3269457743108227
першу ніч,0.3266348977893857
довелося просити,0.32656164241569363
прохолодно номері,0.32625757849379794
бажати кращого,0.32577867818490597
запах номері,0.32568622973566813
москвітіної сітки,0.32557001499536986
довелося йти,0.324152521907794
відкрити вікно,0.3236386035454666
кімнаті холодно,0.3236158352169651
чутно сусідів,0.323020452404974
номері холодильника,0.32288691783395507
прокурений номер,0.3227714907284509
маленьке ковдру,0.3211844676652291
присутній запах,0.3211844676652291
вікно номері,0.3206503269718199
маленькі кімнати,0.32045510919123127
завищена ціна,0.3202574780242699
приймати душ,0.3199564073141859
спальному ліжку,0.319773044642303
знайти вхід,0.31933703723769014
першої свіжості,0.3190184059087214
туристичний збір,0.31869357830801137
першого разу,0.3183623718233958
бажає кращого,0.31807325976440864
великий мінус,0.3176800551364592
хотілось би,0.31727774433242023
душової кабінки,0.3170501863068297
косметичного ремонту,0.3163970572110318
складно знайти,0.3163017788863446
номері працював,0.316040174716394
деяких місцях,0.3157193543709313
сусідніх номерів,0.3146536005062714
номері вікон,0.3146536005062714
пульт кондиціонера,0.31465360050627134
маленька парковка,0.31465360050627134
гучна музика,0.31465360050627134
номері фена,0.3142844594029564
сусідній кімнаті,0.31423780872544194
стіни тонкі,0.313596665251326
вночі шумно,0.31318886224799763
відсутність сніданку,0.3123249381876888
номер прокурений,0.3123249381876888
чутно шум,0.3121475665364982
важко знайти,0.31211067281164034
душової кабіни,0.3120989197168558
вхідних дверей,0.31104947623744617
шумно вночі,0.31104947623744605
номері чутно,0.31071782713243773
свіжого повітря,0.31068741328867
номері прохолодно,0.3097314343095329
маленький номер,0.3096161598146575
працював телевізор,0.30948866779413425
заважає спати,0.30897646761458086
холодильника номері,0.30888161242540757
хотілося бачити,0.3086632368170839
душову кабіну,0.3086632368170839
йде ремонт,0.3084253324112973
звукоізоляція номерах,0.3084253324112973
тапочок номері,0.30823849890361765
біля ліжка,0.3076469512772182
заважало спати,0.30728000263747723
