ngram,score
місцезнаходження супер,0.25506490218209443
привітна господиня,0.25506490218209443
єр чистота,0.25506490218209443
чудове співвідношення,0.25506490218209443
просторі кімнати,0.25506490218209443
хороші номери,0.25506490218209443
номери зручне,0.25506490218209443
чудовий сніданок,0.25506490218209443
необхідне комфортного,0.25506490218209443
послужливо персонал,0.25506490218209443
персонал прекрасний,0.25506490218209443
персонал наявність,0.25506490218209443
доброзичливий привітний,0.25506490218209443
ліжко привітний,0.25506490218209443
персонал молодці,0.25506490218209443
тихий дворик,0.25506490218209443
приємний привітний,0.25506490218209443
чистота затишок,0.25506490218209443
приємний номер,0.25506490218209443
місцезнаходження чистота,0.25506490218209443
місцезнаходження персонал,0.25506490218209443
язаний персонал,0.25506490218209443
приємне місце,0.25506490218209443
комфортно тихо,0.25506490218209443
хороші умови,0.25506490218209443
чистота місце,0.25506490218209443
розташування хв,0.25506490218209443
гарна територія,0.25506490218209443
персонал хороше,0.25506490218209443
затишно зручне,0.25506490218209443
гарний дизайн,0.25506490218209443
персонал відмінна,0.25506490218209443
розташування сніданки,0.25506490218209443
розташування затишний,0.25506490218209443
персонал комфортні,0.25506490218209443
уважний ввічливий,0.25506490218209443
чисті просторі,0.25506490218209443
розташування хороший,0.25506490218209443
чистий приємний,0.2550649021820944
персонал затишний,0.2550649021820944
шикарне розташування,0.2550649021820944
чемний персонал,0.2550649021820944
гарна ліжко,0.2550649021820944
чистий світлий,0.2550649021820944
зручна велике,0.2550649021820944
чисто гарний,0.2550649021820944
сніданок перевершив,0.2550649021820944
прийти допомогу,0.2550649021820944
велика зручне,0.2550649021820944
чисто відмінний,0.2550649021820944
відмінна ліжко,0.2550649021820944
непогані сніданки,0.2550649021820944
новий сучасний,0.2550649021820944
стильний інтер,0.2550649021820944
стильний дизайн,0.2550649021820944
номер усім,0.2550649021820944
ввічливий чуйний,0.2550649021820944
ввічливий доброзичливий,0.2550649021820944
розташування смачні,0.2550649021820944
акуратний номер,0.2550649021820944
смачно недорого,0.2550649021820944
сніданок приємний,0.2550649021820944
сніданки чудові,0.2550649021820944
номери зручні,0.2550649021820944
готель тихому,0.2550649021820944
персонал заселили,0.2550649021820944
кухня усім,0.2550649021820944
комфортні чисті,0.2550649021820944
розташування комфорт,0.2550649021820944
простора кімната,0.2550649021820944
тихій вулиці,0.2550649021820944
тихому районі,0.2550649021820944
