,title,pos,neg,ratingValue,bestRating,rate
0,"['наступної', 'мандрівки', 'до', 'Львова', 'оберемо', 'цей', 'готель']","['Відмінне', 'розташування', 'готелю', 'Дуже', 'близько', 'до', 'центра', 'міста', 'але', 'в', 'той', 'же', 'час', 'на', 'тихій', 'вуличці', 'У', 'готелі', 'дуже', 'привітний', 'персонал', 'Нам', 'раді', 'були', 'допомогти', 'з', 'усіх', 'питань', 'Номер', 'точнісінько', 'такий', 'як', 'на', 'фото', 'У', 'номері', 'дуже', 'чисто', 'Окремо', 'хочу', 'відмітити', 'сніданки', 'ми', 'були', 'приємно', 'здивовані', 'різноманіттям', 'та', 'смаком', 'супер', 'на', 'будь', 'який', 'смак', 'і', 'уподобання', 'З', 'меню', 'не', 'буде', 'проблемою', 'вибрати', 'сніданок', 'і', 'для', 'маленької', 'дитини', 'Дякуємо', 'робітникам', 'готелю', 'за', 'створення', 'комфорту', 'та', 'затишку', 'під', 'час', 'нашої', 'мандрівки', 'до', 'Львова']","['один', 'маленький', 'мінус', 'але', 'нам', 'це', 'не', 'завдало', 'незручність', 'в', 'душовій', 'кабіні', 'було', 'не', 'пілотне', 'прилягання', 'двері']",10.0,10.0,1
1,"['Сніданок', 'великі', 'порції', 'смачно']","['Сніданок', 'великі', 'порції', 'смачно', '1', 'страва', 'безкоштовно', 'за', 'додаткові', 'страви', 'потрібно', 'платити', 'У', 'номері', 'досить', 'тихо', 'враховуючи', 'що', 'це', 'центр', 'міста']","['Сам', 'готель', 'усередині', 'нагадує', 'гуртожиток', 'чи', 'хостел', 'душова', 'кабіна', 'не', 'зачинається', 'відповідно', 'вся', 'підлога', 'залита', 'водою']",6.3,10.0,0
2,"['Все', 'чудово', 'За', 'нагоди', ""обов'язково"", 'знову', 'завітав', 'до', 'цього', 'готелю']","['Дуже', 'чудовий', 'і', 'затишний', 'отель', 'Дуже', 'зручне', 'розташування', 'готелю', 'в', 'самісінькому', 'центрі', 'Львову', 'і', 'в', 'той', 'же', 'час', 'дуже', 'тихо', 'та', 'затишно', 'Дуже', 'гарне', 'кафе', 'де', 'готують', 'дуже', 'смачні', 'сніданки', 'та', 'обіди', 'за', 'досить', 'помірні', 'ціни', 'Чудовий', 'персонал', 'До', 'часу', 'заселення', '14-00', 'номер', 'був', 'повністю', 'готовий', 'та', 'прибраний', 'Пил', 'був', 'витерти', 'навіть', 'на', 'верхній', 'полиці', 'шафи']","['сантехніку', 'труби', 'стоки', 'необхідно', 'перевірити', 'та', 'відремонтувати', 'оскільки', 'в', 'деяких', 'місцях', 'на', 'стіні', 'біля', 'санвузли', ""з'являються"", 'вологі', 'плями', 'Бажано', 'розширити', 'меню', 'кафе']",9.6,10.0,1
3,"['класне', 'розташування', 'такий', 'собі', 'острівець', 'тиші', 'в', 'центрі']","['класне', 'розташування', 'такий', 'собі', 'острівець', 'тиші', 'в', 'центрі', 'міста', 'Дуже', 'ввічливий', 'і', 'приємний', 'персонал', 'Цікавий', ""інтер'єр"", 'кулер', 'з', 'водою', 'на', 'кожному', 'поверсі']","['начебто', 'новий', 'ремонт', 'а', 'велика', 'тріщина', 'над', 'дверима', 'двері', 'в', 'туалет', 'заїдають', 'вибір', 'сніданків', 'великий', 'але', 'на', 'тост', 'з', 'яйцем', 'Ашот', 'чекав', '15', 'хв', 'може', 'тому', 'перший', 'раз', 'в', 'житті', 'їв', 'Ашот', 'зварений', 'круту', 'дуже', 'незручні', 'ліжка', 'матраци', 'класні', 'а', 'рама', 'ліжка', 'широка', 'і', ""дерев'яна"", 'поки', 'звикнеш', 'заробиш', 'кілька', 'синяків']",7.5,10.0,0
4,"['Гарне', 'місце', 'для', 'туристів', 'або', 'відрядження', 'але', 'складно', 'з', 'парковкою']","['Ідеальний', 'номер', 'як', 'для', 'тризіркового', 'готелю', 'є', 'і', 'капці', 'і', 'халат', 'і', 'сейф', 'кондиціонер', 'і', 'все', 'інше', 'необхідне', 'Гарне', 'розташування']","['Дуже', 'круті', 'сходи', 'Складно', 'знайти', 'поруч', 'місце', 'для', 'паркування', 'Скупий', 'сніданок', 'Маленький', 'телевізор', 'В', 'погану', 'погоду', 'навряд', 'зручно', 'виходити', 'на', 'сніданок', 'у', 'сусідню', 'будівлю', 'в', 'кафе']",9.2,10.0,1
5,"['Чудове', 'розташування', 'у', 'тихій', 'вуличці', 'у', 'самому', 'центрі', 'міста']","['Чудове', 'розташування', 'у', 'тихій', 'вуличці', 'у', 'самому', 'центрі', 'міста', 'привітний', 'персонал']","['Дуже', 'круті', 'сходи', 'між', 'поверхами', 'і', 'відсутність', 'ліфта', 'У', 'бронюванні', 'було', 'вказано', 'що', 'сніданок', 'включено', 'у', 'вартість', 'проте', 'насправді', 'за', 'нього', 'потрібно', 'доплатити', '75', 'грн', 'Дуже', 'скупе', 'сніданком', 'меню', 'при', 'тому', 'що', 'половини', 'вказаного', 'там', 'не', 'виявилося', 'у', 'наявності', 'Джуел', 'погана', 'шумоізоляція', 'будьте', 'готовими', 'чути', 'усіх', 'гостей', 'що', 'піднімаються', 'сходами', 'чи', 'увімкнені', 'будильники', 'у', 'сусідніх', 'номерах']",7.1,10.0,0
6,"['Дуже', 'приємний', 'персонал', 'тиша', 'навкруги', 'і', 'дуже', 'близько', 'до']","['Дуже', 'приємний', 'персонал', 'тиша', 'навкруги', 'і', 'дуже', 'близько', 'до', 'центру', 'Безкоштовна', 'кава', 'чай', 'Гарний', 'чистий', 'номер']","['Не', 'було', 'полиці', 'в', 'ванній', 'кімнаті', 'Цього', 'дуже', 'не', 'вистачає', 'дівчаткам']",10.0,10.0,1
7,"['Дуже', 'задоволена']","['Все', 'дуже', 'чисто', 'і', 'гарно', 'За', '3', 'ночі', 'перебування', 'прибирали', '2', 'рази', 'міняли', 'рушники', 'постіль', 'Дуже', 'задоволена', 'перебуванням', 'Є', 'все', 'що', 'треба', 'і', 'гаряча', 'вода', 'цілодобово', 'Персонал', 'дуже', 'привітний', 'Розташування', 'просто', 'супер']","['Тонкі', 'стіни', 'чути', 'що', 'робить', 'персонал', 'Але', 'це', 'ок', 'не', 'занадто', 'заважало']",10.0,10.0,1
8,"['Співвідношення', 'ціни', 'якості', 'та', 'розташування', 'абсолютно', 'адекватне']","['Хороше', 'розташування', 'тихе', 'місце', 'Коли', 'сусіди', 'приймають', 'душ', 'складається', 'враження', 'що', 'на', 'вулиці', 'іде', 'сильний', 'дощ', 'дуже', 'романтично']","['Тонкі', 'стіни', 'дуже', 'чути', 'сусідів', 'особливо', 'шум', 'з', 'душу']",7.1,10.0,0
9,"['Яскраво', 'витримано', 'чисто', 'та', 'доброзичливо']","['Зручно', 'компактно', 'Простий', 'дизайн', 'але', 'ярка', 'частина', 'у', 'вигляд', 'аплікацій', 'різнокольорових', 'дуже', 'цікаво', 'виглядає', 'Чисто', 'Персонал', 'привітний', 'рахунок', 'довгого', 'коридору', 'зручно', 'ділиться', 'комната', 'зональної']","['Двері', 'у', 'душ', 'погано', 'закриваються', 'і', 'трохи', 'відтікає', 'вода', 'У', 'ванній', 'нема', 'Молочки', 'для', 'зберігання', 'мила', 'зубної', 'щітки', 'Але', 'стіл', 'у', 'кімнаті', 'з', 'радістю', 'сприйняв', 'всі', 'Самчики', 'а', 'стакан', 'з', 'кімнати', 'переїхав', 'у', 'ванну', 'для', 'зручності']",10.0,10.0,1
