,pos_summary,neg_summary
ukraine.uk.html,"['просторий номер' 'готель центрі' 'номери хороші' 'гарний сніданок'
 'гарний вид' 'привітний персонал' 'місце розташування']","['ванній кімнаті' 'ванної кімнати' 'запах каналізації' '200 грн'
 'номері шумно' 'телевізор працює' 'єдиний мінус']"
verhovina.uk.html,"['акуратний номер' 'зручні номери' 'гарний готель' 'чисто затишно'
 'привітний персонал' 'місце розташування' 'співвідношення ціна']","['ванній кімнаті' 'запах каналізації' 'важко знайти' 'сіток вікнах'
 '200 грн' 'номері брудно' 'працював кондиціонер']"
fire-inn.uk.html,"['номер гарний' 'хороші меблі' 'місце розташування' 'затишно чисто'
 'готель центрі' 'привітний персонал' 'зручне розташування']","['стіни тонкі' 'запах ванній' 'номері холодно' 'звукоізоляція погана'
 'сильна сутність' 'чути відбувається' 'сусідніх номерів']"
smart-house-kyiv1234567891011.uk.html,"['продуктовий магазин' 'гарний номер' 'нові меблі' 'затишно чисто'
 'комфортно затишно' 'персонал привітний' 'зручне розташування']","['стіни тонкі' 'душова кабіна' 'сусідньому номері' 'погана шумоізоляція'
 'єдиний мінус' 'чути сусідів' 'працює телевізор']"
express-hotel-kiev.uk.html,"['залізничного вокзалу' 'гарна ліжко' 'хороший номер' 'смачний сніданок'
 'привітний персонал' 'співвідношення ціни' 'зручне розташування']","['маленький номер' 'старий телевізор' 'ванній кімнаті' 'напір води'
 'погана шумоізоляція' 'холодно номері' 'розеток номері']"
bakkara.uk.html,"['номер комфортний' 'місце розташування' 'смачні сніданки' 'гарний готель'
 'персонал привітний' 'прекрасний вид' 'розташування зручне']","['тонкі стіни' 'ванної кімнати' 'звукоізоляція номерів'
 'погана звукоізоляція' 'чути сусідів' 'сусідньому номері'
 'відбувається сусідніх']"
zhuliani-siti-zhuliany-city-kyiv.uk.html,"['смачна їжа' 'номер чистий' 'зручно чисто' 'смачний сніданок'
 'привітний персонал' 'ввічливий персонал' 'зручне розташування']","['гарячої води' 'гарячу воду' 'прийняти душ' 'запах номері' 'шум машин'
 'пів години' 'погано працює']"
tourist-complex-kyiv-365.uk.html,"['чистий номер' 'смачна кухня' 'затишно чисто' 'гарний готель'
 'персонал затишний' 'персонал привітний' 'розташування ціна']","['00 00' 'двері номер' 'гарячої води' 'важко знайти' 'нашому номері'
 'волосся ліжку' 'незручне розташування']"
d-d3-4nd-dd-d-d1-4d-d-do-dndud-n.uk.html,"['акуратний номер' 'хороший матрац' 'готелю центрі' 'місце розташування'
 'приємний персонал' 'персонал чуйний' 'зручне розташування']","['ванній кімнаті' 'гарячої води' 'двері туалет' 'маленький номер'
 'спальному ліжку' 'неприємний запах' 'шумоізоляція номері']"
bee-station.uk.html,"['номер комфортний' 'зручне місце' 'гарний готель' 'затишно чисто'
 'персонал приємний' 'привітний персонал' 'співвідношення ціна']","['гарячої води' 'відсутність ліфта' 'душі вода' 'ванній кімнаті'
 'неприємний запах' 'сусідньому номері' 'сусідніх номерах']"
ibis-kiev-railway-station.uk.html,"['чистий номер' 'сучасний готель' 'зручне місце' 'чисто затишно'
 'гарний сніданок' 'привітний персонал' 'зручне розташування']","['маленькі кімнати' 'маленький номер' 'відсутність чайника' 'зубної щітки'
 '200 грн' 'ванній кімнаті' 'ціна завищена']"
aleksandria.uk.html,"['номер гарний' 'смачні сніданки' 'чисто затишно' 'хвилин пішки'
 'персонал смачний' 'привітний персонал' 'розташування зручне']","['одну людину' 'гарячої води' 'відсутність кондиціонера' 'ванній кімнаті'
 'погана звукоізоляція' 'шумно номері' 'чутно відбувається']"
suit-mini.uk.html,"['номер чистий' 'чисто тепло' 'хвилин пішки' 'розташування вокзалу'
 'привітний персонал' 'співвідношення ціна' 'зручне розташування']","['важко знайти' 'номер вікна' 'тонкі стіни' 'ванній кімнаті'
 'повна відсутність' 'чайника номері' 'чути відбувається']"
nika-kiev.uk.html,"['комфортний номер' 'чиста постіль' 'затишний готель' 'чисто приємний'
 'привітний персонал' 'зручне розташування' 'співвідношення ціна']","['гарячої води' 'туалетного паперу' 'ванній кімнаті' 'шум дороги'
 'номері прохолодно' 'висока сутність' 'працював кондиціонер']"
hotel-florida.uk.html,"['номер чистий' 'гарні номери' 'чисто затишно' 'гарний сніданок'
 'привітний персонал' 'персонал парковка' 'ціна розташування']","['гарячої води' 'тонкі стіни' 'маленький номер' 'погана звукоізоляція'
 'чути відбувається' 'номері душно' 'сусідніх номерів']"
rus.uk.html,"['гарний вид' 'місце розташування' 'номери хороші' 'гарний сніданок'
 'персонал привітний' 'відмінний персонал' 'розташування зручне']","['ванній кімнаті' 'маленький номер' 'старий телевізор' 'напір води'
 'тапочок номері' 'чути відбувається' '39 яні']"
evropeyskiy.uk.html,"['просторий номер' 'хороша кухня' 'місце розташування' 'чисто затишно'
 'привітний персонал' 'співвідношення ціна' 'зручне розташування']","['двері ванну' 'маленький номер' 'запах каналізації' 'ванній кімнаті'
 'погана шумоізоляція' 'чайника номері' 'цокольному поверсі']"
ibis-kiev-shevchenko-boulevard.uk.html,"['гарний готель' 'чисто затишно' 'сніданок гарний' 'послужливо персонал'
 'чудовий персонал' 'персонал привітний' 'зручне розташування']","['двері туалет' 'маленький номер' 'відсутність парковки' 'питної води'
 'неприємний запах' 'номері чайника' '39 ясувалося']"
kozatskiy.uk.html,"['центр міста' 'смачні сніданки' 'відмінне місце' 'хороший сніданок'
 'привітний персонал' 'персонал відмінне' 'розташування шикарне']","['гарячої води' 'ванну кімнату' 'ванній кімнаті' 'номері брудно'
 'потребує ремонту' 'неприємний запах' 'радянських часів']"
hotel-nivki.uk.html,"['номер чистий' 'чисті номери' 'чисто затишно' 'гарний готель'
 'приємний персонал' 'персонал привітний' 'розташування ціна']","['маленький номер' 'відсутність кондиціонера' 'ванній кімнаті'
 'вхідних дверей' 'погана звукоізоляція' 'номері душно' 'фена номері']"
lybid.uk.html,"['чудовий номер' 'готель зручно' 'хороші сніданки' 'гарний вид'
 'персонал привітний' 'персонал чуйний' 'зручне розташування']","['маленький телевізор' 'ванній кімнаті' 'старі меблі' 'води душі'
 'номері чайника' 'номері душно' 'погано працював']"
tourist-hotel.uk.html,"['зручні ліжка' 'номер зручне' 'чисто затишно' 'гарний вид'
 'привітний персонал' 'співвідношення ціна' 'розташування шикарне']","['ванній кімнаті' 'гарячої води' 'номер двоспальне'
 'відсутність кондиціонера' 'дивний запах' 'номері чайника'
 'холодно номері']"
best-aparts.uk.html,"['номер чистий' 'холодильник мікрохвильова' 'чисті номери' 'чисто затишно'
 'відмінне місце' 'лякливий персонал' 'привітний персонал']","['вхідних дверей' 'звукоізоляція чути' 'номер першому' 'погана вентиляція'
 'іншого боку' 'телевізор працював' 'єдиний мінус']"
chyhorinskyi.uk.html,"['затишний номер' 'зручне ліжко' 'затишно тепло' 'привітний персонал'
 'тихий район' 'розташування зручне' 'співвідношення ціна']","['гарячої води' 'тонкі стіни' 'туалетний папір' 'ванній кімнаті'
 'погана звукоізоляція' 'звукоізоляція номері' 'цокольному поверсі']"
mini-otiel-kyiv.uk.html,"['рукою подати' 'зручне місце' 'чисто зручне' 'чуйний персонал'
 'привітний персонал' 'персонал ціна' 'зручне розташування']","['двері номер' 'спати неможливо' 'поганому стані' '600 грн'
 'ванній кімнаті' 'душової кабіни' 'звукоізоляція відсутня']"
hotel-bratislava.uk.html,"['номер чистий' 'зручне місце' 'затишно чисто' 'гарний сніданок'
 'привітний персонал' 'співвідношення ціна' 'зручне розташування']","['прокурений номер' 'довелося шукати' 'матрац ліжку' 'погана шумоізоляція'
 'номері чайника' 'номері холодно' '200 грн']"
voshod-kiev.uk.html,"['охайний номер' 'смачна кухня' 'чисто комфортно' 'зручне ліжко'
 'гарний затишний' 'персонал привітний' 'місце розташування']","['тонкі стіни' 'вхід готель' 'туалетного паперу' 'погана звукоізоляція'
 'неприємний запах' 'кондиціонера номері' 'чутно сусідів']"
gostevoi-dom-na-ivana-svetlichnogo-6.uk.html,"['привітна господиня' 'чиста кімната' 'чисто затишно' 'хороший персонал'
 'район тихий' 'місце розташування' 'зручне розташування']","['старі меблі' 'незручне ліжко' 'скрипучі ліжко' '400 грн'
 'бажати кращого' 'матрац ліжку' 'погана шумоізоляція']"
royal-city.uk.html,"['номер комфортний' 'центрі міста' 'чисто затишно' 'зручне місце'
 'персонал привітний' 'персонал зручне' 'зручне розташування']","['знайти готель' 'маленький номер' 'ванній кімнаті' 'вартості номера'
 'сильний запах' 'номері брудно' 'сайті вказано']"
arena-summit-apart.uk.html,"['просторий номер' 'зручне місце' 'чисто комфортно' 'хороший дизайн'
 'привітний персонал' 'чуйний персонал' 'зручне розташування']","['гарячу воду' 'номер знаходився' 'потребує ремонту' 'вхідних дверей'
 'сильна сутність' 'погана звукоізоляція' 'звукоізоляція відсутня']"
mini-hotel-lukyanovski.uk.html,"['гарний номер' 'безкоштовний чай' 'чисто затишно' 'місце розташування'
 'привітний персонал' 'співвідношення ціна' 'зручне розташування']","['номер брудний' 'ванній кімнаті' 'біля ліжка' 'спати неможливо'
 'запах вогкості' 'номері брудно' '300 грн']"
gost-ovii-dim-sotni-kyiv12.uk.html,"['чистий номер' 'новий готель' 'чисто затишно' 'чистота привітний'
 'смачний сніданок' 'персонал привітний' 'співвідношення ціна']","['відсутність чайника' 'тонкі стіни' 'звукоізоляція чути'
 'погана шумоізоляція' 'сусідньому номері' 'чайника номері'
 'сусідніх номерів']"
gotel-kyiv.uk.html,"['номер просторий' 'чисті номери' 'прийнятна ціна' 'хороший персонал'
 'зручно комфортно' 'привітний персонал' 'зручне розташування']","['відсутність ліфта' 'вода тепла' 'відро сміття' 'поганий інтернет'
 'холодильника номері' 'брудний номер' 'туристичний збір']"
artapart-vozdvigenka.uk.html,"['чистий номер' 'сучасний дизайн' 'відмінне місце' 'чисто затишно'
 'привітний персонал' 'місце розташування' 'розташування тихий']",['запах каналізації' 'цілу ніч']
gotel-quot-t2-quot-kyiv.uk.html,"['чистий номер' 'велика зручна' 'зручне ліжко' 'чисто охайно'
 'привітний персонал' 'хороший вибір' 'сподобалося розташування']","['спати неможливо' 'стіни тонкі' 'відсутність звукоізоляції'
 'маленький телевізор' 'одному номері' 'номері фена' 'сусідніх номерів']"
hotel-darnitskiy.uk.html,"['залізничного вокзалу' 'тепло затишно' 'номері тепло' 'чуйний персонал'
 'хв пішки' 'місцезнаходження персонал' 'розташування ідеальне']",['шум вулиці' 'бажає кращого']
goldengate-inn.uk.html,"['комфортний номер' 'чисто затишно' 'гарне місце' 'центрі міста'
 'персонал чистота' 'привітний персонал' 'зручне розташування']","['відсутність ліфта' 'маленькі кімнати' 'ванній кімнаті'
 'погана звукоізоляція' 'номері шумно' 'чути сусідів' 'номер знаходився']"
kievinn.uk.html,"['номер красивий' 'гарне місце' 'центрі міста' 'затишно чисто'
 'готовий допомогти' 'привітний персонал' 'шикарне розташування']","['гарячої води' 'відсутність ліфта' 'ванній кімнаті' 'іншому місці'
 'номері вікна' 'запах вогкості' 'бажає кращого']"
petrani-nivki.uk.html,"['просторий номер' 'хороший готель' 'гарна територія' 'чисто затишно'
 'номері зручне' 'привітний персонал' 'зручне розташування']","['маленьке ковдру' 'питної води' 'чужі волосся' 'відсутність холодильника'
 'ванній кімнаті' 'сусідньому номері' 'холодильника номері']"
holosiyvsky.uk.html,"['номер чистий' 'чиста постіль' 'затишно зручне' 'хвилин метро'
 'персонал привітний' 'зручне розташування' 'співвідношення ціна']","['двері туалет' 'маленький номер' '300 грн' 'запах вогкості'
 'чути відбувається' 'холодно номері' 'номері чайника']"
z-apartments.uk.html,"['ліжка зручні' 'комфортний номер' 'ідеальна чистота' 'чисто затишно'
 'привітний персонал' 'персонал чистота' 'зручне розташування']","['гарячої води' 'важко знайти' 'кімната маленька' 'сильна сутність'
 'погана звукоізоляція' 'маленький номер' 'номері чутно']"
