,title,pos_text,neg_text,ratingValue,bestRating
0,Ідеально для ділової поїздки!,"Ідеально для ділової поїздки! Господар зустрів о шостій ранку, привітний. 22 поверх, вид з вікна на море. Все поряд, супермаркет, розваги, ресторани. Було пізнє виселення без доплати. Обов""зково зупинюся тут наступного разу.",,10.0,10.0
1,"Затишний, чистий номер з усіма зручностями.","Затишний, чистий номер з усіма зручностями. Чудовий краєвид з вікна. Є можливість підігріти їжу та зробити чай/каву.","При бронюванні вказала час прибуття о 7 ранку, на що отримала відповідь ""за наявності"". Про те, що раніше 12 я заселитися не зможу, дізналася тільки коли туди приїхала. Виявляється, мені про це повідомили о 4.45 електронним листом, коли я ще спала у потязі. Вважаю, що слід попереджати хоча б за 12 годин, щоб була можливість скоригувати плани. Також мені не дали, хоча я і просила, підтвердження оплати для оформлення відрядження.",9.2,10.0
2,Все сподобалося. Рекомендую,"Чисто, тихо, комфортно. Зустрів і провів приємний власник. В номері холодильник, в холі мікрохвильовка, чайник. Все що, на мій погляд, необхідно","На барі кава тільки 3 в 1. Хотілося звичайної кави, найкраще заварної.",9.6,10.0
3,"Зручне розташування,чудовий вигляд з вікна,в номері є все що...","Зручне розташування,чудовий вигляд з вікна,в номері є все що потрібно,зустрів приємний і вічливий чоловік.Однозначно рекомендую,обов'язково повернемось з дружиною ще раз.",,10.0,10.0
4,"Все чудово: 9,9 балів!","Нові апартаменти на останньому поверсі ЖК, біля центрального входу до Аркадії. Чисто, недорого (лютий місяць), ввічливий господар. Поруч - ""Сільпо"", новий ТЦ і безліч закладів харчування. До центру 20 хв. на маршрутці.","Немає терміналу для оплати кредиткою, тільки готівка.",10.0,10.0
5,Все,Все,,10.0,10.0
6,Дуже привітний власник.,"Дуже привітний власник. Можна бути впевненим, що вас зустрінуть у будь- яку годину доби!",,9.2,10.0
7,Уважний та приємний господар.,"Уважний та приємний господар.Зручна локація,поруч можна залишити авто  під цілодобову охорону. Готель новий.",,10.0,10.0
8,Буду рекомендувати ці апартаменти своїм друзям.Все сподобалось,"Сподобалось розміщення,чистота номеру.Все необхідне і навіть більше )",Нема зауважень,10.0,10.0
9,"Хороша квартира, не дуже приємний господар.","Хороший ремонт, красивий вид з вікна, чисто.",Були проблеми з заселенням. Господар не дуже гостинний і приємний.,8.8,10.0
10,"Чисто, охайно, все є, дуже привітний господар - рекомендую!","Чисто, охайно, все є, дуже привітний господар - рекомендую!",,10.0,10.0
0,Чудовий варіант,"Номер як на фото. Все гарно, зручно. Зручне ліжко, гарна ванна кімната","Важко знайти готель - він знаходиться в житловому будинку, на 16 поверсі. Я не знайшов жодної вивіски, довелося телефонувати на ресепшн. Витяжка працює гучновато. Як придирка - телевізор без smart tv. Добре було б поставити якийсь tv-box, або Chromecast, щоб можна було не залежати від лінійного ТБ.",9.6,10.0
1,Хочеться ще повернутися.Я думаю це найкращий відгук.,1.Стильний готель 2.Дуже турботливий і хороший персонал 3.Гарний номер 4.Дуже зручне ліжко 5.Вініловий програвач 6.Брендовані дрібнички 7.Надписи  8.Сподобалося все,,10.0,10.0
2,Awesome place ,"Дуже крутий дизайн! Надзвичайно привітливий персонал. Особливо велика вдячність Жасмін, яка зробила наш відпочинок просто надзвичайним!",Єдиний мінус- це розташування до центру.,9.2,10.0
3,"Раннє заселення, чистота в номері, гарний краєвид з вікна,...","Раннє заселення, чистота в номері, гарний краєвид з вікна, можливість будь коли зробити чай та каву :)",Кришка туалетна була зламана,9.2,10.0
4,Прекрасний готель,Все було на найвищому рівні,"Можливо, розетки в ванній кімнаті розташовані прямо біля раковини і це створювало деяку небезпеку",9.6,10.0
5,Ідеальне місце для вихідних!,Відчуття «дому». Персонал божествений! цілую обіймаю і повернусь:),,9.5,10.0
6,"Дуже хороший сервіс, привітний персонал та затишний стильний...","Дуже хороший сервіс, привітний персонал та затишний стильний номер. Почували себе як вдома. Дуже смачні сніданки та кава! Рекомендуємо)",,10.0,10.0
7,Чудове місце на кілька ночей!,"Новий готель, класний вибір на сніданок зі свіжих продуктів. Дуже приємний та чутливий персонал. Все сподобалося. Дякуємо!",,10.0,10.0
0,Відпочинок в не сезон на автомобілі,"Відстань до пляжу Золотий берег 12 хв пішки, наявність парковки і басейну, нові і комфортні номери, смачні сніданки по системі шведський стіл.","Температура води в басейні 24,5*С при заявлених 26*С.",9.6,10.0
1,Клас,"Рівень готелю і його ціна оправдані.  Сніданок смачний.  Басейн теплий.  В номерах чисто, є халати.  Розташування далеко від центру, але заради комфорту можна приїхати.",,10.0,10.0
2,Готель прекрасний!,"Готель прекрасний! Відпочивала з дітьми, тераса з басейном і з майданчиком -надзвичайно комфортний простір, щоб провести там час. Сервіс, чистота, інтер’єр, їжа - абсолютно все надзвичайно сподобалося!",,10.0,10.0
3,Доброго дня всім!,"Доброго дня всім! Хочу поділитись своїми враженнями про готель! Місце його положення в тихому районі міста, що добре, коли ти хочеш відпочити від натовпу! Сам готель вразив своїм новим надсучасним дизайном, коли все продумано до самих дрібниць! Персонал дуже привітний і ввічливий! Відчув себе ніби як вдома по духу! Сніданки дуже смачні! Рекомендую!!!! Приємно також, згадала, що сама власниця питає про враження гостей від готелю і цікавиться що сподобалось і що не так ! Хочу щоб цей їх азарт тримався і не зник !!!! Дякую за чудові вихідні з Вами !",,10.0,10.0
4,"Готель перевершив всі очікування, персонал працює на...","Готель перевершив всі очікування, персонал працює на відмінно! ми обов'язково повернемось!",,10.0,10.0
5,"Відмінне розташування, надзвичайно смачні сніданки та дуже...","Відмінне розташування, надзвичайно смачні сніданки та дуже уважний і ввічливий персонал!",,10.0,10.0
0,"Відмінний готель, гарне розташування, приязний та щирий персонал - обов'язково відвідаю ще!","Для подорожніх у справах - відмінний готель! Зручне розташування - різноманітні магазини та кафе у зоні 3 хвилин пішої ходи, до Дерибасівської та кількох інших визначних місць пішки можна дістатися за 25-30 хвилин.","Для готелю для пляжного відпочинку - від моря задалеко, особливо якщо відпочиваєш з дітьми. Але якщо діти активні - вважайте, проблеми немає ))",9.6,10.0
1,"Чисто, душевно, лагідно.","Вдале розташування поруч з центром та основними пам'ятками міста, заблукати не вдасться. Зручно добиратися  до моря -  зупинки транспорту просто поруч.  Адміністратор, дуже приємна та уважна, порадила де краще відпочити, де підібрати сувеніри. Чудова бібліотека на любий смак. Мені було по-домашньому спокійно та затишно.",,10.0,10.0
2,Затишно відпочити після активного дня,"Неочікованно був приємно здивований. Розташування (старе місто, тихий охайний дворик). В середені чистота, спокій, і свіже повітря. Інтер'єр зі своїм стилем.  Рекомендую для тих в кого пріоритети погуляти подивитися місто (екскурсії). а на вечір повернутися у затишне помешкання. Поруч достатньо продовольчих магазинів, кафе.",,10.0,10.0
3,"Все просто супер, рекомендую!","Все було просто чудово! Господарка дуже доброзичлива і весела.  Номери чисті і комфортні, ліжка просто супер, з кожної кімнати є вихід на внутрішній дворик. Є все необхідне - посуд, чайник, мікрохвильовка, холодильник, тостер, чай та печивко. Також вай-фай, настільні ігри, книги, телик іт.д. Є два душа та два туалети. Весь хостел має чудовий дезайн і просто неймовірно класне розташування - до будь якої пам'ятки архітектури (відомої), центру, авто та жд вокзалу пішки максимум 25 хв. Дуже зручно! Ціна нормальна і дуже приємна))). Рекомендую однозначно і сподіваюся, ще туди потраплю!))))",Все супер!,10.0,10.0
4,Чудове співвідношення ціна-якість!,"Дуже затишне помешкання,яке перевершило наші очікування. Ми обрали двомісний номер і були задоволені. Душ/туалет чисті, в кімнаті є персональні рушники. Наявна компактна кухня загального користування, питна вода, чай, чайник, мікрохвильовка. Із залізничного вокзалу дійшли пішки за 15хвилин, до центру теж спокійно можна прогулятися пішки 10-15хв.",,10.0,10.0
5,"зручне  розташування, комфортний номер, чисто, недорого","зручне  розташування, комфортний номер, чисто, недорого","Фен дуууже слабенький, швидко висушити ним волосся не розраховуйте. Тому дівчата, для кого ця опція так само важлива, рекомендую мати свій.",7.5,10.0
6,The Experiment,дуже чудова локація  та затишна атмосфера внутрішнього двора.,"трохи підвальне приміщення, це взагалі лише зовнішній нюанс, який не впливає ні на що!",10.0,10.0
7,Рекомендую,"Проживання було комфортним. Господиня привітна,кімнати чисті. Зручне розташування. Все сподобалось!",,10.0,10.0
8,"хороше місце, хороші умови.","Чисто, акуратно, стильно. Зроблено для людей.","шумоізоляція не сам краща, плити для готування немає.",9.2,10.0
0,Апартаменти сподобались!,"Загалом, є все необхідне для відпочинку/прожиття. Район доволі тихий!  Власниця порадувала нас смаколиками і вином, чого не очікували зовсім, дуже привітно, на будь-які зауваження/прохання реагувала дуже швидко. Звукоізоляція хороша, нам з малою дитиною це було важливо, щоб не заважати сусідам.","Доступність пляжу, до нього потрібно добиратись. Хоча це не є мінус, адже все одно потрібно десь прогулюватись!",9.2,10.0
1,Все супер,Нам сподобалось абсолютно все! 10+!!!! Всім рекомендую!!!!!!,,10.0,10.0
2,Все чудово.,"Все чудово.
Дуже привітна і тепла атмосфера.
Наступного разу коли буду в Одесі,обов'язково скористаюся цими апартаментами.",,10.0,10.0
0,Чудово!,"1. Сніданок блискучий 2. Номери гарні 3. Дуже чисто 4. Привітний персонал 5. Поселили раніше, ніж заїзд в готель без додаткової плати 6. Красивий готель","1. На фото номери істотно більші 2. На сніданку персонал не встигав доставляти їжу/столове приладдя, що закінчувалося",9.6,10.0
1,1. Сервіс ідеальний: на всі прохання швидко реагували.,"1. Сервіс ідеальний: на всі прохання швидко реагували. 
2. Чистота.
3. Хороші сніданки.
4. Гарний дизайн.","1. Готель потребує косметичного ремонту. Рушники вже дуже старі, килими зачовгані, стіни забруднені, меблі потерті. Невеликі вкладення і готель відновить свій вигляд.
2. Сильний шум з вулиці навіть із закритими вікнами.",9.2,10.0
2,Tekrar gelsem burda kalırım.,"The breakfast was very nice. The coffee was perfect. The location was very good. The staff at the reception spoke English and were very helpful to us. The rooms were the same with the photos. The rooms were clean. And everything needed was available in the room. If I come back to Odessa, I'il stay here again. Сніданок був дуже приємний. Кава була ідеальною. Розташування було дуже хорошим. Персонал на прийомі розмовляв англійською і нам дуже допомагали. Кімнати були однакові з фотографіями. Кімнати були чисті. І все необхідне було доступне в кімнаті. Якщо я повернусь до Одеси, я знову залишусь тут.",Ми залишилися в кімнаті 49. Віконної завіси у ванній кімнаті не було. Це було трохи незручно.,9.2,10.0
3,Готель надзвичайно хороший.,"Готель надзвичайно хороший. Ми приїхали зранку і нам запропонували заселитися раніше (без жодних доплат), що ми й зробили. У номері була комфортна температура завдяки системі кондиціонування повітря (система зручна у використанні, виставляти та підтримувати необхідну температуру дуже просто). У номері дизайнерський ремонт, гарні меблі та освітлення. Ліжко надзвичайно зручне. Постіль чиста і приємна на дотик. У номері великий балкон зі зручними кріслами. Нова і якісна сантехніка. Сніданок - шведський стіл (вибір хороший, їжа смачна). Персонал вразив своєю привітністю та уважністю. У готелі є кімната схову, де можна залишити свої речі після виселення і забрати ввечері. Є ліфт і пандуси, що робить готель зручним для використання людьми з особливими потребами. Гарний бар і кухня, які працюють цілодобово (смачні коктейлі та еклери).","Відсунувши столик у номері, ми побачили пил, шкаралупки від фісташок. Було б добре частіше відсовувати столик та прибирати за ним.",9.2,10.0
4,Розташування,Розташування,"Персонал при поселенні не переходив на Українську мову хоча я звертався Українською. Подушки на ліжку не зручні, необхідно додати ще по одній.",7.9,10.0
