,title,pos,neg,ratingValue,bestRating,rate
0,"['Ідеально', 'для', 'ділової', 'поїздки']","['Ідеально', 'для', 'ділової', 'поїздки', 'Господар', 'зустрів', 'о', 'шостій', 'ранку', 'привітний', '22', 'поверх', 'вид', 'з', 'вікна', 'на', 'море', 'Все', 'поряд', 'супермаркет', 'розваги', 'ресторани', 'Було', 'пізнє', 'виселення', 'без', 'доплати', 'Обов', 'язково', 'зупинюся', 'тут', 'наступного', 'разу']",['Nan'],10.0,10.0,1
1,"['Затишний', 'чистий', 'номер', 'з', 'усіма', 'зручностями']","['Затишний', 'чистий', 'номер', 'з', 'усіма', 'зручностями', 'Чудовий', 'краєвид', 'з', 'вікна', 'Є', 'можливість', 'підігріти', 'їжу', 'та', 'зробити', 'чай', 'каву']","['При', 'бронюванні', 'вказала', 'час', 'прибуття', 'о', '7', 'ранку', 'на', 'що', 'отримала', 'відповідь', 'за', 'наявності', 'Про', 'те', 'що', 'раніше', '12', 'я', 'заселитися', 'не', 'зможу', 'дізналася', 'тільки', 'коли', 'туди', 'приїхала', 'Виявляється', 'мені', 'про', 'це', 'повідомили', 'о', '4.45', 'електронним', 'листом', 'коли', 'я', 'ще', 'спала', 'у', 'потязі', 'Вважаю', 'що', 'слід', 'попереджати', 'хоча', 'б', 'за', '12', 'годин', 'щоб', 'була', 'можливість', 'скоригувати', 'плани', 'Також', 'мені', 'не', 'дали', 'хоча', 'я', 'і', 'просила', 'підтвердження', 'оплати', 'для', 'оформлення', 'відрядження']",9.2,10.0,1
2,"['Все', 'сподобалося', 'Рекомендую']","['Чисто', 'тихо', 'комфортно', 'Зустрів', 'і', 'провів', 'приємний', 'власник', 'В', 'номері', 'холодильник', 'в', 'холі', 'мікрохвильовка', 'чайник', 'Все', 'що', 'на', 'мій', 'погляд', 'необхідно']","['На', 'барі', 'кава', 'тільки', '3', 'в', '1', 'Хотілося', 'звичайної', 'кави', 'найкраще', 'зварної']",9.6,10.0,1
3,"['Зручне', 'розташування', 'чудовий', 'вигляд', 'з', 'вікна', 'в', 'номері', 'є', 'все', 'що']","['Зручне', 'розташування', 'чудовий', 'вигляд', 'з', 'вікна', 'в', 'номері', 'є', 'все', 'що', 'потрібно', 'зустрів', 'приємний', 'і', 'ввічливий', 'чоловік', 'Однозначно', 'рекомендую', ""обов'язково"", 'повернемось', 'з', 'дружиною', 'ще', 'раз']",['Nan'],10.0,10.0,1
4,"['Все', 'чудово', '9,9', 'балів']","['Нові', 'апартаменти', 'на', 'останньому', 'поверсі', 'ЖК', 'біля', 'центрального', 'входу', 'до', 'Аркадії', 'Чисто', 'недорого', 'лютий', 'місяць', 'ввічливий', 'господар', 'Поруч', 'Сільпо', 'новий', 'ТЦ', 'і', 'безліч', 'закладів', 'харчування', 'До', 'центру', '20', 'хв', 'на', 'маршрутці']","['Немає', 'терміналу', 'для', 'оплати', 'кредиткою', 'тільки', 'готівка']",10.0,10.0,1
5,['Все'],['Все'],['Nan'],10.0,10.0,1
6,"['Дуже', 'привітний', 'власник']","['Дуже', 'привітний', 'власник', 'Можна', 'бути', 'впевненим', 'що', 'вас', 'зустрінуть', 'у', 'будь', 'яку', 'годину', 'доби']",['Nan'],9.2,10.0,1
7,"['Уважний', 'та', 'приємний', 'господар']","['Уважний', 'та', 'приємний', 'господар', 'Зручна', 'локація', 'поруч', 'можна', 'залишити', 'авто', 'під', 'цілодобову', 'охорону', 'Готель', 'новий']",['Nan'],10.0,10.0,1
8,"['Буду', 'рекомендувати', 'ці', 'апартаменти', 'своїм', 'друзям', 'Все', 'сподобалось']","['Сподобалось', 'розміщення', 'чистота', 'номеру', 'Все', 'необхідне', 'і', 'навіть', 'більше']","['Нема', 'зауважень']",10.0,10.0,1
9,"['Хороша', 'квартира', 'не', 'дуже', 'приємний', 'господар']","['Хороший', 'ремонт', 'красивий', 'вид', 'з', 'вікна', 'чисто']","['Були', 'проблеми', 'з', 'заселенням', 'Господар', 'не', 'дуже', 'гостинний', 'і', 'приємний']",8.8,10.0,0
10,"['Чисто', 'охайно', 'все', 'є', 'дуже', 'привітний', 'господар', 'рекомендую']","['Чисто', 'охайно', 'все', 'є', 'дуже', 'привітний', 'господар', 'рекомендую']",['Nan'],10.0,10.0,1
11,"['Чудовий', 'варіант']","['Номер', 'як', 'на', 'фото', 'Все', 'гарно', 'зручно', 'Зручне', 'ліжко', 'гарна', 'ванна', 'кімната']","['Важко', 'знайти', 'готель', 'він', 'знаходиться', 'в', 'житловому', 'будинку', 'на', '16', 'поверсі', 'Я', 'не', 'знайшов', 'жодної', 'вивіски', 'довелося', 'телефонувати', 'на', 'ресепшн', 'витяжка', 'працює', 'Новато', 'Як', 'придурка', 'телевізор', 'без', 'smart', 'tv', 'Добре', 'було', 'б', 'поставити', 'якийсь', 'tv', 'box', 'або', 'Chromecast', 'щоб', 'можна', 'було', 'не', 'залежати', 'від', 'лінійного', 'ТБ']",9.6,10.0,1
12,"['Хочеться', 'ще', 'повернутися', 'Я', 'думаю', 'це', 'найкращий', 'відгук']","['1', 'Стильний', 'готель', '2', 'Дуже', 'турботливий', 'і', 'хороший', 'персонал', '3', 'Гарний', 'номер', '4', 'Дуже', 'зручне', 'ліжко', '5', 'вініловий', 'програвач', '6', 'брендовані', 'дрібнички', '7', 'Надписи', '8', 'Сподобалося', 'все']",['Nan'],10.0,10.0,1
13,"['Awesome', 'place']","['Дуже', 'крутий', 'дизайн', 'Надзвичайно', 'привабливий', 'персонал', 'Особливо', 'велика', 'вдячність', 'Жасмін', 'яка', 'зробила', 'наш', 'відпочинок', 'просто', 'надзвичайним']","['Єдиний', 'мінус', 'це', 'розташування', 'до', 'центру']",9.2,10.0,1
14,"['Раннє', 'заселення', 'чистота', 'в', 'номері', 'гарний', 'краєвид', 'з', 'вікна']","['Раннє', 'заселення', 'чистота', 'в', 'номері', 'гарний', 'краєвид', 'з', 'вікна', 'можливість', 'будь', 'коли', 'зробити', 'чай', 'та', 'каву']","['Кришка', 'туалетна', 'була', 'зламана']",9.2,10.0,1
15,"['Прекрасний', 'готель']","['Все', 'було', 'на', 'найвищому', 'рівні']","['Можливо', 'розетки', 'в', 'ванній', 'кімнаті', 'розташовані', 'прямо', 'біля', 'раковини', 'і', 'це', 'створювало', 'деяку', 'небезпеку']",9.6,10.0,1
16,"['Ідеальне', 'місце', 'для', 'вихідних']","['Відчуття', 'дому', 'Персонал', 'божественний', 'цілую', 'обіймаю', 'і', 'повернусь']",['Nan'],9.5,10.0,1
17,"['Дуже', 'хороший', 'сервіс', 'привітний', 'персонал', 'та', 'затишний', 'стильний']","['Дуже', 'хороший', 'сервіс', 'привітний', 'персонал', 'та', 'затишний', 'стильний', 'номер', 'почували', 'себе', 'як', 'вдома', 'Дуже', 'смачні', 'сніданки', 'та', 'кава', 'Рекомендуємо']",['Nan'],10.0,10.0,1
18,"['Чудове', 'місце', 'на', 'кілька', 'ночей']","['Новий', 'готель', 'класний', 'вибір', 'на', 'сніданок', 'зі', 'свіжих', 'продуктів', 'Дуже', 'приємний', 'та', 'чутливий', 'персонал', 'Все', 'сподобалося', 'Дякуємо']",['Nan'],10.0,10.0,1
19,"['Відпочинок', 'в', 'не', 'сезон', 'на', 'автомобілі']","['Відстань', 'до', 'пляжу', 'Золотий', 'берег', '12', 'хв', 'пішки', 'наявність', 'парковки', 'і', 'басейну', 'нові', 'і', 'комфортні', 'номери', 'смачні', 'сніданки', 'по', 'системі', 'шведський', 'стіл']","['Температура', 'води', 'в', 'басейні', '24,5', 'С', 'при', 'заявлених', '26', 'С']",9.6,10.0,1
20,['Клас'],"['Рівень', 'готелю', 'і', 'його', 'ціна', 'оправдання', 'Сніданок', 'смачний', 'Басейн', 'теплий', 'В', 'номерах', 'чисто', 'є', 'халати', 'Розташування', 'далеко', 'від', 'центру', 'але', 'заради', 'комфорту', 'можна', 'приїхати']",['Nan'],10.0,10.0,1
21,"['Готель', 'прекрасний']","['Готель', 'прекрасний', 'відпочивала', 'з', 'дітьми', 'тераса', 'з', 'басейном', 'і', 'з', 'майданчиком', 'надзвичайно', 'комфортний', 'простір', 'щоб', 'провести', 'там', 'час', 'Сервіс', 'чистота', ""інтер'єр"", 'їжа', 'абсолютно', 'все', 'надзвичайно', 'сподобалося']",['Nan'],10.0,10.0,1
