,hotel,clean,comfort,location,services,staff,value,wifi
0,ukraine.uk.html,8.1,9.6,7.7,7.3,7.9,7.7,8.2
1,verhovina.uk.html,7.9,7.4,7.8,7.7,8.1,8.4,8.1
2,fire-inn.uk.html,8.0,8.9,7.5,7.6,8.2,7.8,7.2
3,smart-house-kyiv1234567891011.uk.html,8.9,8.0,8.7,8.7,8.7,8.7,
4,express-hotel-kiev.uk.html,7.5,8.7,7.2,7.0,8.0,7.3,7.0
5,bakkara.uk.html,8.6,8.5,8.2,8.1,8.7,7.9,8.1
6,zhuliani-siti-zhuliany-city-kyiv.uk.html,7.9,7.1,7.6,7.4,8.3,7.6,3.8
7,tourist-complex-kyiv-365.uk.html,9.4,8.4,9.3,9.2,9.2,9.3,8.7
8,d-d3-4nd-dd-d-d1-4d-d-do-dndud-n.uk.html,7.7,8.5,7.6,7.4,7.8,7.4,8.0
9,bee-station.uk.html,8.4,7.0,8.3,8.4,8.7,8.7,8.2
10,ibis-kiev-railway-station.uk.html,9.4,9.2,9.0,8.9,9.2,8.4,8.9
11,aleksandria.uk.html,8.0,8.3,7.9,8.0,8.3,8.1,8.7
12,suit-mini.uk.html,6.7,7.8,5.7,6.1,7.3,6.3,7.8
13,nika-kiev.uk.html,8.1,7.9,7.9,7.6,8.2,8.1,7.9
14,hotel-florida.uk.html,8.5,7.5,8.1,8.1,8.2,8.4,8.8
15,rus.uk.html,7.9,8.9,7.4,7.4,8.2,7.4,7.5
16,evropeyskiy.uk.html,8.4,9.2,7.8,7.8,8.4,8.2,7.6
17,ibis-kiev-shevchenko-boulevard.uk.html,8.9,8.7,8.3,8.2,9.0,8.0,8.6
18,kozatskiy.uk.html,7.2,9.5,6.6,6.4,7.4,6.8,7.2
19,hotel-nivki.uk.html,8.2,6.9,7.8,7.9,8.4,8.1,
20,lybid.uk.html,8.1,8.8,7.6,7.7,8.3,7.6,8.5
21,tourist-hotel.uk.html,7.9,8.6,7.3,7.3,8.2,7.7,7.4
22,best-aparts.uk.html,9.6,7.9,9.4,9.4,9.4,9.3,8.9
23,chyhorinskyi.uk.html,7.1,7.9,7.0,7.0,8.1,7.1,8.3
24,mini-otiel-kyiv.uk.html,6.2,7.9,5.9,5.9,7.4,6.5,8.2
25,mini-otiel-kyiv.uk.html,6.2,7.9,5.9,5.9,7.4,6.5,8.2
26,hotel-bratislava.uk.html,8.4,8.3,8.2,8.0,8.5,8.0,8.0
27,voshod-kiev.uk.html,8.3,7.5,8.0,8.0,8.4,8.2,7.9
28,zhuliani-siti-zhuliany-city-kyiv.uk.html,7.9,7.1,7.6,7.4,8.3,7.6,3.8
29,gostevoi-dom-na-ivana-svetlichnogo-6.uk.html,8.1,7.6,7.4,7.6,8.3,8.4,7.1
30,royal-city.uk.html,7.3,7.7,6.9,6.5,7.3,6.8,7.8
31,arena-summit-apart.uk.html,9.6,9.4,9.4,9.3,9.4,9.2,
32,mini-hotel-lukyanovski.uk.html,7.7,8.5,7.4,7.5,8.3,7.5,8.4
33,d-d3-4nd-dd-d-d1-4d-d-do-dndud-n.uk.html,7.7,8.5,7.6,7.4,7.8,7.4,8.0
34,gost-ovii-dim-sotni-kyiv12.uk.html,9.4,8.1,8.9,8.9,9.4,9.4,
35,gotel-kyiv.uk.html,7.8,8.6,8.0,7.7,8.7,8.1,6.3
36,artapart-vozdvigenka.uk.html,9.6,9.5,9.3,9.1,9.3,9.2,9.5
37,gotel-quot-t2-quot-kyiv.uk.html,8.5,7.5,7.9,7.8,8.4,8.1,8.2
38,hotel-darnitskiy.uk.html,7.4,7.1,6.6,7.1,7.7,6.5,5.8
39,goldengate-inn.uk.html,8.2,8.9,7.9,7.8,8.4,8.1,8.5
40,kievinn.uk.html,8.9,9.7,8.8,8.6,8.9,8.6,
41,petrani-nivki.uk.html,9.5,8.7,9.4,9.0,9.1,9.2,8.5
42,holosiyvsky.uk.html,7.3,7.5,6.5,6.5,7.3,6.8,6.2
43,z-apartments.uk.html,9.3,9.1,8.6,8.8,9.3,8.7,8.6
44,pokrovsky.uk.html,5.1,7.3,4.8,4.7,6.2,5.4,
45,orly-park.uk.html,9.3,8.5,9.2,9.2,9.0,8.9,8.1
46,iq.uk.html,9.0,8.3,8.5,8.4,8.9,8.5,8.4
47,luxury-apartments-kyiv12345.uk.html,9.3,9.1,9.1,9.1,8.8,8.8,10.0
48,predslava.uk.html,6.1,7.8,5.7,5.7,7.3,6.2,6.5
