ngram,score
зламаний,0.34733875975754147
плямами,0.3470693776318101
слабка,0.34703369197181444
дверцята,0.34450962155909
павутина,0.3443620309858793
раковині,0.3437991998921649
незручні,0.34364602310478976
шторка,0.34282639260407194
погана,0.3426075670734506
жахлива,0.34253387273542213
пружини,0.342125892919695
неприємно,0.3409749742429143
слабкий,0.3408440088060474
грибок,0.3406077920469395
умивальнику,0.3403776499942905
незручна,0.3402506385442032
злив,0.3399884197016436
зламана,0.3395922748592205
відсутня,0.3393916567130103
каналізації,0.339384364448116
неприємний,0.33924623794460446
розмови,0.3389027627591968
плямах,0.3387161368889134
брудна,0.33834767909033364
брудні,0.33813220179397424
жахливі,0.33780911009650694
каналізацією,0.33737841495979537
брудно,0.33721522869142556
унітазу,0.3366956215032068
цвіль,0.33494074824317066
плями,0.3347535158710761
поламаний,0.33453057208696896
тонкі,0.33450644729627826
брудний,0.33444810164853267
ручка,0.3343857486393119
сіток,0.33434393930287504
гучний,0.3340457625099032
скрипучі,0.33403709871294707
кабіні,0.3338900871139739
таргани,0.3337753930297751
смерділо,0.3329200216931961
неможливо,0.33282925056068813
простирадло,0.3325473326787319
сильна,0.33223877530738416
шумоізоляції,0.3316675952700982
незручно,0.3316336554074752
слив,0.3316158330797518
смердить,0.3313135137442945
протікає,0.33125286232573314
відсутній,0.3310741035325514
оновити,0.33101152056797833
крана,0.33101152056797833
незручний,0.3309772072978159
жахливий,0.3309024835395616
сутність,0.33081835055171543
голосно,0.3307866309530944
звук,0.3304875855076208
провітрити,0.330473159276262
заміни,0.3303920206525971
забитий,0.3299838378337527
витяжки,0.3298567702418124
сморід,0.32969903425711145
пил,0.3291856580328743
потребує,0.32896106554614835
кабінці,0.3289610655461483
повісити,0.32876406192203833
тече,0.32871666796969107
заснути,0.32858475044265945
жахливо,0.32854186234573995
сусіднього,0.32806209093018107
комарі,0.328029102780991
убогий,0.3279683920124705
паперу,0.32782965640232914
ледь,0.32771954116799096
покривало,0.32725861537742235
недостатньо,0.327136296130901
незручне,0.32710112916202444
повинна,0.32678017107453455
душно,0.3266230007771837
стіною,0.32652679710882676
відсутність,0.32638199255175465
огидний,0.3263766709567438
темно,0.32492108774440825
вивіски,0.3247386302343605
сигарет,0.32370669316117867
звукоізоляції,0.3233230480641433
замінити,0.3232537722681889
запах,0.3230615637902165
дзвонити,0.3230583837104615
витяжка,0.3226161775459629
старі,0.322585526430078
відбувається,0.32194376298820865
вхідні,0.3219246373917329
вимагає,0.3218453938039019
душовій,0.3217733416292192
прибирати,0.3216827975901332
розетка,0.3213634917338441
поліпшити,0.3209992279601801
волосся,0.32063694024317135
дме,0.32057252662851266
розмовляють,0.3205530169821896
підлозі,0.32052044774583976
стіни,0.3204685567559601
зверху,0.3202574780242699
вогкості,0.3195806904758934
холодно,0.3194378995928826
накурено,0.31939263642037685
відсутні,0.3190767945189066
дихати,0.3189323984855464
новато,0.3188567778897725
холодний,0.3187783978993507
дискомфорт,0.3187299818689634
некомфортно,0.31858389413470384
почали,0.3183229782470701
сусідніх,0.3181975036450739
незрозуміло,0.31809268650422545
бажано,0.3180245965919779
бракує,0.31790135169253575
дверях,0.3176800551364592
відкрити,0.31753027259250055
фактом,0.31741708541488944
шпалери,0.3173427390170526
однодольні,0.31723485316830413
жахливе,0.3163667959503915
кран,0.3163458160473946
пульт,0.316040174716394
результаті,0.3159934725045235
бажати,0.3159399515107099
гучна,0.31577106532912824
стіну,0.31524247447026144
доводиться,0.31522072331297324
бруд,0.3151941039760417
слабенький,0.3146536005062714
вхідних,0.31425461611265754
ноги,0.31409716931945153
двері,0.3139618218458442
дверима,0.31386325546211946
термінал,0.3138127590395403
хтось,0.3131082898572119
прокурений,0.31308716244412654
см,0.31276945663172
приймати,0.31264761780867273
вентиляції,0.31255136066876593
душової,0.3124788614506514
шумить,0.31226867149305754
вентиляція,0.3120989197168558
покласти,0.31208580240613687
ситуація,0.3120629994089983
полички,0.3119409465783199
коридору,0.311895465477638
сусіди,0.3117321951548609
жах,0.31111409858440014
туалеті,0.3109529556276692
порожній,0.3108692336609211
погано,0.31072831847767873
могла,0.31034681541773235
факту,0.31028352457170183
холодні,0.3099837223727863
повинні,0.3096141556822903
підлогу,0.30871884074544925
жалюзі,0.3084980115984644
доводилося,0.30836033772666493
прибрати,0.30823849890361776
сміття,0.30823849890361765
ліфта,0.30816897841653107
вибачте,0.3081593564010018
дивний,0.30799702295527626
якийсь,0.3078086947090375
дверей,0.307789228709859
галасливі,0.30730553510357145
повинен,0.3071621799341222
кабіни,0.30710652077773526
помитися,0.3069133070508075
ніякої,0.3067691721450988
унітаз,0.30644611302515085
сказали,0.3064014396912804
маленьке,0.3063677832018901
стін,0.30612101795652097
вказано,0.30547155696827655
зіпсувало,0.30523252648070615
рецепцію,0.30501751146753314
підсумку,0.30480052696044463
довелося,0.3047961377312031
будівництво,0.3047587497989576
залишає,0.3045639401658322
ванну,0.3042541179120289
відкриваються,0.30424480777789686
завищена,0.30371551477101094
міняти,0.30366934069364454
просити,0.3034795309597846
готівкою,0.3027543772065636
розетки,0.3026663974477588
недолік,0.30237712346332873
запахом,0.3023632970523535
періодично,0.30227555192994104
сусідньому,0.3022641741779616
мінусів,0.3020055242640999
погане,0.30075181289577413
сітки,0.30062911489411515
голову,0.3005554131066254
відкривати,0.30049929390413793
критично,0.30032944735241907
поміняти,0.3002831622941094
чутно,0.2997055843706149
попередніх,0.29969854997433
плитка,0.29936371791225147
розумію,0.2992410762730207
провітрювання,0.2991966494424461
тісно,0.2987157411637207
заплатити,0.2987080375605258
телевізора,0.29815392509543126
вийде,0.29808449907307855
говорять,0.2977298281820696
шампуню,0.2971574052817519
точніше,0.29701579479486917
злегка,0.29679987469534364
карти,0.2967609797495542
закриваються,0.29658434393067024
скрипить,0.29649075606652114
сильний,0.2962819104352287
закрити,0.295714536946744
стара,0.29560188436336976
працювала,0.2955044699153662
прохолодно,0.2954661084061325
коридор,0.2952810822472697
надто,0.2951467574412388
жодної,0.29508935284371907
написано,0.2950521472681945
пахло,0.2946709485939704
додати,0.2944502144179844
завадило,0.2942398513807384
якась,0.2942068440098766
якось,0.2940391453083517
шумоізоляція,0.2939926609267731
ставити,0.2938699945829793
кондиціонера,0.293865620869083
сильно,0.29382111761571583
другого,0.29350438214162716
стояв,0.2934114804095225
доплатити,0.292977529107515
туалетного,0.2927701562999627
підніматися,0.29267395639218136
головою,0.29260345976319724
важко,0.29205173781034244
кольору,0.29183554979607695
явно,0.2918177995096915
будьте,0.291810118251776
ковролін,0.29157725257225403
туалету,0.2915413322643966
підвалі,0.29130541804168897
тісний,0.2908904036517641
гелю,0.29078526033157903
кабінки,0.2902942546468267
градусів,0.2899744501538017
капців,0.28995837336024455
канали,0.28909949603388324
нет,0.2885776734321521
включити,0.2885430648470633
страшно,0.288459850728797
прибрали,0.2884397524118393
чекати,0.28813053889998247
пилу,0.28773873871666916
тягне,0.28765873604868886
важкувато,0.2876400402316472
відповіли,0.2875823266791498
старий,0.2874845762949517
платити,0.2869750818231059
шум,0.2867952664257326
раковина,0.286713589904376
покриття,0.2866901303780014
постійний,0.286513647687363
душі,0.2860326534284709
зрозуміло,0.2860214705355151
прийшли,0.2858907240744754
нема,0.28584406265645357
працював,0.28575097443378816
