ngram,score
торговий,0.2519738252049525
стильний,0.2516479334782872
просторо,0.25033912669581904
шикарне,0.24922228740184077
відмінне,0.2491790546474775
похвал,0.24887532736439696
необхідним,0.24749860484972935
чудове,0.24745561917834383
просторий,0.24683284346193168
швидке,0.24661349961985138
гарне,0.24631650803155228
турботливий,0.24629097787458923
ввічливий,0.24626701195144074
милий,0.24622399674468706
подяка,0.2462014418507893
доброзичливий,0.2460081961577843
необхідне,0.24593872967904826
затишна,0.2457693027585256
перевершив,0.24535959367471646
послужливо,0.24534873671980417
прекрасне,0.2451606850771459
стильно,0.24513773894908317
чуйні,0.2449351255943028
білосніжна,0.24474162709174646
визначні,0.24472406884387557
ідеальне,0.2445764905677899
затишні,0.24407821081154357
тихе,0.24396411938917753
чуйний,0.24376026395452186
крокової,0.24355387509317478
затишний,0.24291941038590778
уважний,0.24274207574099044
серці,0.24271446379566503
шикарні,0.24259626162249642
тихому,0.24220232881020862
уютне,0.24219597599277343
привітний,0.24214870214130457
затишно,0.2419595617473847
домашньому,0.24195312951796738
світлий,0.24193661343685166
затишне,0.24159036277961912
магазини,0.24151970518272164
просторі,0.24117214324658534
спокійне,0.241150387647061
відмінний,0.24112072078910773
акуратний,0.2408244630674842
симпатичний,0.24055251911251016
простора,0.2405344223780489
чудовий,0.2404943398231609
дерибасівської,0.24008774621244156
домашня,0.24005075822264763
відмінні,0.2400011557462185
доступності,0.2398249356253575
чудові,0.2397126887244449
продуктовий,0.23948315982909
визначних,0.2393658019723787
доглянута,0.23935852217550624
ятки,0.23923677056109702
гарний,0.2388538310025431
доброзичливі,0.23846564036263268
оперного,0.23803156288331404
чистенько,0.23799968688917855
пішої,0.2376262010693525
зручне,0.2375525133838559
комфортний,0.23752459019615532
чистий,0.23740617175492235
ситні,0.23733613522166286
прийнятна,0.23733613522166286
прекрасний,0.23691735179977197
ненав,0.23676478177542004
сучасний,0.23665983949937028
шикарний,0.23648955701615765
красивий,0.23591003056231313
затишок,0.23583100705445373
пішій,0.23523065719712247
театру,0.23486151609380743
ситний,0.2347087514920341
привітно,0.23460184823441046
тиша,0.23438030332224333
особлива,0.23408041069996674
привабливий,0.23394003371562783
недорого,0.23392250063197978
прекрасні,0.23358442342850083
відмінна,0.2335348463415139
смачні,0.23348147562738597
приголомшливий,0.23342297724325153
класний,0.2330342186412323
чуйна,0.23298838220726287
аркадія,0.232891923230903
прекрасна,0.23284279767438848
захваті,0.23278850747094215
молодці,0.23274761537714014
чисто,0.232659791972841
охайно,0.23260413282079315
тихо,0.2324408258152301
спокійний,0.23243121046855697
хороший,0.2322854940497454
вдале,0.23204251046775662
приємний,0.23196845069978625
гостинність,0.23194843140626265
супермаркет,0.2319220682718647
атмосфера,0.2316695844252665
спасибо,0.23163074440145306
тиха,0.23142399235398675
приємна,0.23111451182395604
усміхнений,0.23109774642520026
комфортні,0.23106462577832793
професійний,0.23078124595282418
лякливий,0.23040717466755742
окреме,0.23027428073417597
гостинний,0.23024131845706228
центром,0.23015755059453943
хороше,0.23014633879962446
смачний,0.2301312142425492
красива,0.2294731410304228
тихий,0.2292518266335154
тепло,0.2291253325635432
большое,0.22907371680034877
білосніжні,0.2289620996178893
порадувала,0.2281422593592138
зайвого,0.22796250914684554
пузата,0.22791265613847952
задоволенням,0.22773134935944417
комфортне,0.2277113958756397
чисті,0.227571492487647
чудова,0.2274915658120732
