title,pos_text,neg_text,ratingValue,bestRating,hotel
сподобалось розташування поряд з потрібною мені локацією,сподобалось розташування поряд з потрібною мені локацією,"не сподобалось, що персонал на рецепції так і не зміг знайти моє бронювання . Але надали мені аналогічний номер за ту саму ціну",6.3,10.0,dnepropetrovsk.uk.html
розташування Удобне,розташування Удобне,"розетки _ переноску від однієї, інші не працюють . Дзеркало в коридорі де нема поряд розетки як і у вбиральні, відповідно феном користуватись неудобно . Нема чайника і відповідно чай ввечері не проп'єш . В телевізорі 3 канала і ті риплять.",7.0,10.0,dnepropetrovsk.uk.html
Більше ніколи не поселяють у цей готель,"Гарне місце розташування, привітний персонал","Номер виглядає як у 90-х. Ніякого ремонту, старі меблі. У номері було накурено. Ванна і туалет - напевно без ремонту з моменту коли відкрився готель",5.0,10.0,dnepropetrovsk.uk.html
Загалом добре,"Шикарний вид з вікна на набережну, ванна, а не душова кабінка, гаряча вода, працює кондиціонер, правда тільки на охолодження, гарна постільна білизна біла, нова і чиста, ідеальне місце розташування прямо на набережній в декількох хв від центру і парку Шевченка, приємна ціна, є все необхідне, навіть більше, в одній кімнаті два ліжка, стіл письмовий, стіл журнальний, два стільця, крісло, холодильник, тумба з телевізором, як на мене забагато і тіснувато, але краще хай зайве, ніж не було б зовсім ніяких додаткових зручностей.","Подерті шпалери, не працювала розетка біля дзеркала, погано сходила вода в раковині, дерев'яні вікна і як наслідок шум і холод, хоча ковдри нові і теплі, небезпечний балкон, старі меблі (номер 415)",8.8,10.0,dnepropetrovsk.uk.html
Врахували моє побажання щодо номеру з балконом та видом на...,Врахували моє побажання щодо номеру з балконом та видом на Дніпро:),"Одного дня, на сніданок, замість салату з помідорами та базиліком подали салат з помідорами та фетою - про заміну нічого не повідомили:(",9.2,10.0,dnepropetrovsk.uk.html
"Сподобалося, що можна заселитися в будь який час (наприклад...","Сподобалося, що можна заселитися в будь який час (наприклад дуже пізно).",Номер строений . За ці ж гроші можна зняти в Дніпрі значно пристойніше квартиру.,5.0,10.0,dnepropetrovsk.uk.html
Негативно.,Nan,"1) за номер з ще радянським ремонтом ціна 600 грн на двох, що набагато вище ніж у хостелах . 2) Працівники розмовляють тільки недержавною мовою . 3) швидкість інтернету не дозволяє не тільки читати інтернет сторінки, але і отримати маленький лист . 4) загальна оцінка негативна.",2.5,10.0,dnepropetrovsk.uk.html
"Сподобалося розташування готелю - на набережній, дуже ...","Сподобалося розташування готелю - на набережній, дуже зручно . Також в номері був кондиціонер, прибирали щодня . Зручне велике ліжко.","Стан сантехніки - все в тріщинах, старе, вимикачі незрозумілі - як рубильник . Старий холодильник, який не вмикала, бо жахливо гудів . Рушники порвані.",5.8,10.0,dnepropetrovsk.uk.html
"Я зупиняюсь у цьому готелі що найменше 1 раз на місяць, це...","Я зупиняюсь у цьому готелі що найменше 1 раз на місяць, це вже не перший відгук написаний мною,
Подобається мені:
1.Ціна (бо маю ліміт від компанії)
2.Розташування (майже в центрі і до місця куди мені треба не далеко).
Всё решта не має значення, я просто приходжу переночувати в номер.
За ті гроші що я плачу це ідеальне місце.",Nan,8.3,10.0,dnepropetrovsk.uk.html
"розташування самого готелю - бомба, дуже гарно.","розташування самого готелю - бомба, дуже гарно. Відремонтований перший поверх та хол, працюючі ліфти та наявна гаряча вода.",""" совковість "" самого приміщення . дуже старі двері, тонкі стіни, не працюючий замок на балконні двері, пошарпані стіни, взагалі атмосфера старого готелю.",6.7,10.0,dnepropetrovsk.uk.html
В разі підступності інших варіантів зупинитись можна на одну добу,"Чиста кімната, білизна.","Звичайний типовий радянський готель . Радянські меблі та обладнання, ковдри та все в комбінаті . Двері та балкон тільки в режимі "" перегляду "" - зачинені і не відкриваються . Якщо ви хочете згадати часи розвалу СРСР - кімнати все нагадають . Проте все чисто, чиста білизна; наявна гаряча вода.",5.8,10.0,dnepropetrovsk.uk.html
Ніколи не бажаю собі чи іншим поселення в цьому готелі.,Лиш розташування  і зручне ліжко з зручним матрацом і чистими простирадлами,"недоліків більше ніж переваг . В номері брудно, старі меблі та вікна холодні і зношені . утеплені абияк, в номері холодно . А сніданок взагалі яжуть . Одноразовий посуд і розігріта їжа . яжуть . Ванна маломірних, сидяча . Все що відбувається на коридорі чутно.",5.0,10.0,dnepropetrovsk.uk.html
"Існує не модернізований номерний фонд, Аля часів союзу.",Nan,"Існує не модернізований номерний фонд, Аля часів союзу . Старі меблі . Відсутній косметичний ремонт . Сантехніка теж стара . Присутній не природній запах.",5.8,10.0,dnepropetrovsk.uk.html
"У кімнаті тепло (у листопаді), досить чисто, є шампунь та...","У кімнаті тепло (у листопаді), досить чисто, є шампунь та гель для душу у ванній кімнаті, білизна чиста.",Меблі і ремонт - десь з часів 70-80х років минулого сторіччя. Прибирають в номері не кожного дня.,7.5,10.0,dnepropetrovsk.uk.html
Відмінне розташування.,"Відмінне розташування . Є всі зручності, все працює . Вигляд на річпорту, великий балкон додають краси","Поки що старе оформлення, у стилі пізньої радянської епохи, що виглядає сьогодні застарілим. На додачу - хотілося б побачити бойлер у фойє (хоча окропу можна попросити у чергової на поверсі)",8.8,10.0,dnepropetrovsk.uk.html
"Номер за 600 грн (де я зупинилася) підійде хіба що для ночівлі, але не комфортного відпочинку.","Чудове розташування на набережній у центрі міста. З вікна відкривається вид на Дніпро.  Біла чиста білизна.  Сантехніка хоч і не нова, але все чисто. І вода гаряча :)","У 2014 році я жила у відреставрованому номері з хорошими умовами . Цього разу я заселилися в один з найдешевших номерів, старий ремонт, вікно погано закривається, тому продавало, на стіні побачила павука . Ремонт часів незалежності, але досить підтоплений, на стінах були плями.",6.7,10.0,dnepropetrovsk.uk.html
Лише місце розташування!,Лише місце розташування!!! В подальшому це Подорож в минуле «Совок» в усіх його проявах,"Відсутність води протягом двох діб - не можливість справляння фізичних потреб, прийняття душу тощо . Хоча при заселенні на ресепшн запевнили що отель забезпечить мешканців водою в повному обсязі - води не було (шкода персонал по прибиранню), під час сніданку всі були стурбовані таким станом, але жодних вибачень . Сніданок - а - ля СРСР, є в меню чотири на вибір, а в наявності лише перший - яйця та сир з йогуртом (в пластиковому посуді). Є можливість - не йдіть, біжить в інший, а місцем прийдете подивитесь пішки!!!! заявлених коштів не виправдовує.",4.6,10.0,dnepropetrovsk.uk.html
"Прекрасне місце, якщо вам лише переночувати і вранці подивитись у вікно :)","Шикарний вид з вікна, привітний персонал, розташування готелю - в самому центрі.","Меблі та техніка 80-х років (в кращому випадку). На фото було якось сучасніше . Таргани бігають в коридорі . Вай - Фай працює нормально лише в коридорі біля ліфта . Мій номер був в кінці коридору, і інтернет відновлювався кожні 1,5-2 хвилини.",8.3,10.0,dnepropetrovsk.uk.html
Вид з вікна на Дніпро.,Вид з вікна на Дніпро. Розташування.,"Через погану звукоізоляцію шум доноситься з вулиці . Що з з зачиненими, що з відкритими вікнами - шум від дороги поруч від готелю доноситься з однаковою інтенсивністю . Це насправді заважало.",7.1,10.0,dnepropetrovsk.uk.html
"Хороший готель на Набережній, точно зупинюсь тут, коли приїду знову","- балкон виходить на Набережну, вражаючий вид - просторий номер - зручне розташування","- можна було би замінити крани і душ на більш сучасні. але тим не менше, все справне і працює",9.6,10.0,dnepropetrovsk.uk.html
Найкращий вигляд на Дніпро,"Відпочивали в даному готелі літом 2018 року . Готель далеко не новий, але чистий . в ньому можна знайти різні номери, які відповідають любим вимогам і це пропорційно їх вартості . Сніданок не шведський стіл , 4 типи комплектів на вибір . З своїми плюсами та мінусами цей готель має найкращий вигляд на Дніпро.",Nan,9.2,10.0,dnepropetrovsk.uk.html
