title,pos_text,neg_text,ratingValue,bestRating,hotel
"Зручно, затишно, комфортно","Комфортний і затишний готель. Інтер'єр стриманий, акуратний. Номер чистий, зручний, просторий.  Жодних нарікань щодо роботи персоналу.  Чудові смачні сніданки.  Смачні страви і гарне обслуговування у двох ресторанах готелю. Планувала зупинитися на одну ніч, але довелося затриматися на три. Без проблем продовжили номер в телефонному режимі. Мені було справді комфортно і затишно в цьому готелі.","Слід врахувати, що ресторани готелю справді хороші і користуються попитом щодо замовлення бенкетів.  Обслуговування гостей готелю при цьому не зупиняють, усе смачно і швидко, гарна подача і обслуговування, але може бути шумно )",10.0,10.0,nadiya-ivano-frankivsk.uk.html
Зустріли дуже привітно!,"Зустріли дуже привітно! Обслуговування просто супер (швидко,якісно і головне з приємною посмішкою )! Номер чистий і затишний ;зручні ліжка;ніякого шуму;ванна кімната чиста ;всі прилади працювали!!!! Розкішний сніданок на будь-який смак!!! Будемо зупинятися лише у Вашому готелі і рекомендувати усім друзям та знайомим !!!! Дякуємо за гостинність !!!!❤❤❤❤❤",Наша поїздка була робоча І короткочасна!!!,10.0,10.0,nadiya-ivano-frankivsk.uk.html
Дівчата на ресепшені досить різкі . Хоча і не відмовляються допомогти.,"Приємно, що на ресепшені в день заселення, роздрукували авіаквиток . На прохання вранці зателефонували і розбудили.","Ціна котра була вказана на booking при бронюванні, відрізнялась від ціни котру озвучили на ресепшені . заброньований мною номер став дорожчим на 10% . Це не критично і взагалі так би мовити ні на що не впливає, але не приємно ...",8.3,10.0,nadiya-ivano-frankivsk.uk.html
"Готель розташований у комфортному місці, близько до...","Готель розташований у комфортному місці, близько до центральної частини міста, ЖД вокзалу . бонусом стало поселення у номер напівлюкс, при попередньому бронюванні стандартного одномісного . Номер просторий, чистий, прибирання і зміна рушників відбувається кожного дня.",Nan,10.0,10.0,nadiya-ivano-frankivsk.uk.html
Чудовий готель.,"Чудово! Приїхавши, приємно був здивований компліментом від готелю, а саме запропонували напівлюкс замість стандарту по тій же ціні . ситний сніданок (шведський стіл), приємний персонал, комфортний номер, міні бар, простора ванна кімната, широкий плоский телевізор, зручні ліжка, якісний інтернет.",Недоліків не виявлено (а це буває не часто).,10.0,10.0,nadiya-ivano-frankivsk.uk.html
"Сподобалось розташування, номери комфортні і теплі, персонал...","Сподобалось розташування, номери комфортні і теплі, персонал привітний, сніданок смачний)","Єдине, що не сподобалося це платна парковка - включіть її в ціну при бронюванні готелю для тих хто з авто, або зробіть безкоштовною для проживаючих в готелі, а для інших платною",10.0,10.0,nadiya-ivano-frankivsk.uk.html
Готель чудовий.,"Готель чудовий . У самому центрі міста . Усе поряд . сніданки дуже класні . Багато іноземців . зупиняюсь тут не вперше . Завжди задоволений . Приємні акції, можна винайняти номер дешевше . Вайда не повисає.",Стоянка 75 грн за ніч.,10.0,10.0,nadiya-ivano-frankivsk.uk.html
"Рекомендую як для зупинки в дорозі, так для тривалого перебування","привітний і компетентний персонал . Кімната напівлюкс така, з якої не хотілось їхати, а залишитись відлежатися на тиждень - гарна, затишна . При поселенні, завдяки наявній можливості, віддали за ту ж ціну напівлюкс замість заброньовано стандарту, оскільки стандарт виходив вікнами на ресторан, де було якесь галас святкування і це було дуже доречно - я рано ліг з дороги і добре виспався, дякую за турботу! Приємно, що отримав ланч у дорогу, оскільки виїхав раніше сніданку.","Вартість парковки у 75 грн відверто вразила! Реальний треш і він досить таки підписував враження від готелю . Це дорожче Києва і навіть деяких закордонних країн . До того ж, незрозуміло, парковка охороняється чи ні, розмітки на платній парковці немає (як кому що доводити при можливій ДТП?).",9.6,10.0,nadiya-ivano-frankivsk.uk.html
Жодних вражень!,Nan,"Нічого не сподобалось ,! тільки рецепція і ліфти більш - менш виглядають пристойно . Номер, як в старому санаторії, зовсім не вартують тих грошей! Зе мінус, що парковка платна, по талончик, штрафи за загублені талончики і т . д.",5.0,10.0,nadiya-ivano-frankivsk.uk.html
Неперевершено!,"Сучасний готель на відстані приблизно 15 хвилин пішої прогулянки як від центру міста (Ратуші), так і від залізничного вокзалу . Надзвичайно послужливо і відповідальний персонал, затишні номери і смачні сніданки - в принципі, все, чого можна побажати собі під час подорожі за досить демократичну ціну.","Нема чого написати, все було чудово! Єдине побажання - не розслаблятися і тримати встановлений високий рівень! :)",10.0,10.0,nadiya-ivano-frankivsk.uk.html
