title,pos_text,neg_text,ratingValue,bestRating,hotel
Розташування та атмосфера - добре.,"Розташування та атмосфера - добре. Приємно, що близько до дороги, привітний персонал.","Сніданок - незадовільно, вибору немає. Другий день, навіть, відмовилися. Кави не було! Телевізор не працював, в номері не прибирали. Відсутній ліфт.",7.9,10.0,artua.uk.html
"Якщо ви не вибагливі і проїздом потрібно десь переночувати, то готель для Вас (ліжка хороші, чисто).","Цікаве оформлення готелю. В цілому ціна якість відповідає, не найгірший варіант щоб переночувати, особливо якщо подорожуєте персональним транспортом.","Відсутні одноразові тапочки . Любі переміщення між номером, рецепцію . рестораном - супроводжуються виходом на вулицю . На сніданку не має вибору, було подано, щось на зразок запіканки 100-150 грам на вигляд і стіл з пакетованих чаєм і двома видами печива . Далеко від метро . Практично відсутня шумоізоляція в номерах.",7.9,10.0,artua.uk.html
"Сніданок смачний,  зручне розташування.","Сніданок смачний,  зручне розташування. Було незрозуміло як вмикається фен, впродовж 5 хвилин прийшов інженер і пояснив, як користуватися. Велика стоянка. Тепло. Рекомендую",Nan,10.0,10.0,artua.uk.html
В номерах погана шумоізоляція та неприємний запах від...,Nan,"В номерах погана шумоізоляція та неприємний запах від кондиціонер . "" Сніданок включено в остаточну ціну "" – означає різке, печиво і чай . Кава чи будь - яка страва до оплаченого сніданку не входять . Немає можливості повечеряти після 21 : 00 або поснідати до 7 : 00.",6.7,10.0,artua.uk.html
"В номері тепло, навіть жарко.","В номері тепло, навіть жарко.",Каву на сніданок треба купувати .... Якщо розраховується карткою - документи для звітності не видають .... повечеряти в ресторані о 20.00 не видалось можливим - зачинено . Термінал для розрахунку карткою не працював .... В ресторані можна розрахуватись тільки готівкою .... В номері не прибрали за дві доби.,5.8,10.0,artua.uk.html
Адміністративний персонал на висоті.,Адміністративний персонал на висоті.,"Були 2 дні. Номер не прибирається. Посуд після сніданку та мусор з номера не виносились, що ввечері стало неприємним сюрпризом.",7.1,10.0,artua.uk.html
Холодно в номері,Nan,Холодно в номері,5.8,10.0,artua.uk.html
Сніданок,Nan,Сніданок,9.2,10.0,artua.uk.html
Все супер привітний персонал ідеальне співвідношення ціни та...,Все супер привітний персонал ідеальне співвідношення ціни та якості для бюджетних подорожі,Nan,9.6,10.0,artua.uk.html
"Прибирання бажає кращого
",Nan,"Прибирання бажає кращого
Сніданок - це просто смішно",7.1,10.0,artua.uk.html
"Привітний персонал, чудові умови проживання за приємними...","Привітний персонал, чудові умови проживання за приємними цінами. Зупинялись в Люксі з виходом на терасу, дуже сподобалось😊",Nan,10.0,10.0,artua.uk.html
"Приємний персонал, в кімнатах чисто та зручно.","Приємний персонал, в кімнатах чисто та зручно.",Nan,10.0,10.0,artua.uk.html
Було чисто в номері.,"Було чисто в номері.
Цікавий інтер'єр","Поруч немає кафе, де можна повечеряти",8.3,10.0,artua.uk.html
"Відсутність розеток біля ліжка і, взагалі, їх кількість (1 в...",Nan,"Відсутність розеток біля ліжка і, взагалі, їх кількість (1 в номері та три! в ванній кімнаті). Слабке освітлення.",7.9,10.0,artua.uk.html
"Відсутність розеток біля ліжка, і взагалі одної розетки...",Nan,"Відсутність розеток біля ліжка, і взагалі одної розетки замало(",9.6,10.0,artua.uk.html
Приїду ще,"Зовні красивий готель, гарний персонал","Застаріла білизна, хоча чиста",7.1,10.0,artua.uk.html
Амбергер на сніданок краще не подавати,Амбергер на сніданок краще не подавати,Nan,8.3,10.0,artua.uk.html
Жахливий комфорт за малі гроші ,Ціна.,"Запах в кімнаті.
Якість ліжка.
Якість душу і туалету. 
Сніданок жахливий. 
Ресторан дорогий і не дуже якісна їжа...",5.8,10.0,artua.uk.html
"Інтер‘єр, ціна-якість, велика кількість послуг.","Інтер‘єр, ціна-якість, велика кількість послуг.",Не вчасне прибирання,7.5,10.0,artua.uk.html
В цілому добре,"Гарний номер, зручне ліжко.","Адміністратор на рецепції не володіє англійською, не було одноразових тапочки.",7.9,10.0,artua.uk.html
"Все сподобалось, дякую!","Чисте охайне приміщення, комфортні ліжка . Зручне розташування, як для мене . привабливий персонал.",Nan,9.6,10.0,artua.uk.html
Гарний персонал і зручне затишне місце,Гарний персонал і зручне затишне місце,Nan,10.0,10.0,artua.uk.html
Сподобалось все.,Сподобалось все. Дякуємо!,Nan,8.8,10.0,artua.uk.html
