title,pos_text,neg_text,ratingValue,bestRating,hotel
Лише дівчата на рецепції - три рази мені міняли кімнату.,Лише дівчата на рецепції - три рази мені міняли кімнату. Дякую їм.,"Все. Одного досвіду вистарчило, щоб більше сюди не повертатися. Готель лише для гостей, яким байдуже умови , чистота і комфорт.",4.6,10.0,verhovina.uk.html
"Оформлення кімнати хороше, досить приємне, на одну-дві ночі...","Оформлення кімнати хороше, досить приємне, на одну-дві ночі - чудовий варіант, особливо якщо врахувати ціну. Такі номери у конкурентів в два рази дорожчі.",Nan,9.2,10.0,verhovina.uk.html
"Усе відмінно, завдяки якісному сервісу ми завжди тут зупиняємося.","Усе відмінно, завдяки якісному сервісу ми завжди тут зупиняємося. Цього разу ресторан було заброньовано, нам люб'язно запропонували вечерю в номер, це дуже зручно. Надзвичайно люб'язний персонал. Є територія що замикається, для мешканців з авто.",Рекомендую людям котрі подорожують власним транспортом.,10.0,10.0,verhovina.uk.html
Ціна/якість в принципі ,Ціна/якість в принципі,"душова, трохи старий ремонт, але за 500 грн за щастя . Особливо не сподобалась басовито музика, як в 16 прибув, так і до 23 ї рубала.",7.5,10.0,verhovina.uk.html
"Приїхали з сином біля сьомої ранку, сонні та втомлені, нас...","Приїхали з сином біля сьомої ранку, сонні та втомлені, нас заселили відразу ж . Дуже вдячна . Все чисто, гарно, свіжий ремонт, подушечки . З вікна ялиночки, ніби в Карпатах живеш) )",Nan,8.3,10.0,verhovina.uk.html
"зупиняюсь в цьому готелі не перший раз, нажаль розчарована.","зупиняюсь в цьому готелі не перший раз, нажаль розчарована.","чомусь тапочки вже не дають, чайник є - а пакетик чаю забули покласти, номер на 8 поверсі під кришкою а ні жалюзі ні штор чомусь не має, цілу ніч червоний пожежний маячок блискав в очі ......",5.4,10.0,verhovina.uk.html
"Достатня кількість побутової техніки для зручностей,великий...","Достатня кількість побутової техніки для зручностей,великий плюс яким ми скористались мікрохвильова піч.В номері залишили сумку,все повернули в повному обсязі)","Фото номеру не відповідають дійсності,оплату знімають наперед,і по факту отримуєш номер кардинально інший.В номері брудно,на постільній білизні волосся,капці відсутні,хоча ні підігріву підлоги,ні килимів не має...поламане ліжко,на якому навіть звичайного покривала,яке б прикривало постільну білизну не було.",3.3,10.0,verhovina.uk.html
Відносно комфортне проживання за приємну ціну.,"Чистота , тепло та відносно комфортно в номері.",Зламані гачки на вішалці для одягу . Відносно малий підсумував для полотен . Розбитий стаканчик для води коштує 100 грн . Неможливість завжди розраховуватися карткою . А можливо вам ще прийдеться бігти до іншого корпусу . щоб заплатити.,6.7,10.0,verhovina.uk.html
2 та 5 корпуси умови шикарні,"Готель дуже класний у співвідношенні ціна-якість. 2 та 5 корпуси просто бомба, перевищують всі очікування!","У 3 корпусі давно не робили ремонт та налагодили крани, стіни, опалення . Прохання не просто надсилати підтвердження бронювання, а ще й зазначати, в яких корпусах будуть номери, щоб була можливість перебронювати завчасно, а не стикатися з претензіями групи вже на місці . бо одні жили в розкішних умовах, а інші, нажаль були навіть без опалення",9.6,10.0,verhovina.uk.html
Хороше співвідношення ціни та якості. За 700 грн на добу цілком виправданий варіант для проживання.,"В цілому, все було добре. Зручне ліжко, вся техніка в номері працює, з 5 діб, що мі були прибирали 4 рази, тому в цілому було чисто. Номер відповідає фото. Двічі подовжували проживання у готелі без будь яких проблем.","В день заїзду на вулиці трошки потеплішало і адміністрація встановила опалення на мінімум . Холодно для дорослих не було, але ми були з маленькою дитиною і на прийшлось купити тепловізор, що правда адміністрація не заперечувала, щоб ми його використовували.",8.8,10.0,verhovina.uk.html
Так собі,Nan,"Холодна кахельні підлога . Не було хоча б дешевих кімнатних тапочок . Холодно та не працював кондиціонер на обігрів . Довго чекати гарячої води в душі . душових "" куток "" є причиною калюж у ванній кімнаті . На території не завадив би інформативний стовп з напрямками корпусів, або стенд - мапа",6.3,10.0,verhovina.uk.html
"Зручне розташування,  привітний персонал на рецепції","Зручне розташування,  привітний персонал на рецепції","Зупинялись  з друзями в 3-му корпусі. Бронювали  5 номерів. Кому як повезло. Одні номери більш охайні, інші дуже ""втомлені "" ,  конкретно 210 номер ще й з неприємним запахом. Сніданки не сподобались.",7.1,10.0,verhovina.uk.html
Катастрофа - в готелі не було води! Повна безпорадність персонал та керівництва!!!,"Нічого!!! Коли немає води, то ніщо не може сподобатись!!!","Зовсім не було ні гарячої, а ні холодної води . Персонал сказав, що зараз включать . З ранку води теж не було . Був би нормальний персонал та керівництво, то запропонували б якусь воду в пляшках, або знижку!!! Нічого не зробили!!! Неприємний день! Планував зупинитися на три ночі, але як без води? Також не було опалення . вселився та поїхав в готель "" Нивки "", де все є та гарне розташування!",3.3,10.0,verhovina.uk.html
Власникам потрібно самим спробував пожити в номерах 5 корпусу,"В номері чисто і тихо, досить комфортно","Персонал не дуже привітний, в ванні нормально не стікає вода через що підлога постійно мокра, прожектори з вулиці світять в вікна кімнати",5.8,10.0,verhovina.uk.html
Зручний та затишний номер із чудовим ліжком та телевізором.,"Зручний та затишний номер із чудовим ліжком та телевізором. Привітний персонал, який вчасно виконує свою роботу та готовий вирішити будь-які запитання))","Мало розеток у номері, чайник доводилося кип'ятити на підлозі поруч із ліжком. Інколи було чути, що відбувається в коридорі, але цей шум не заважав сну чи відпочинку)",9.2,10.0,verhovina.uk.html
Зручний і комфортний готель,"Дуже привітний персонал, ідеальна чистота, доступні ціни. З бронюванням і заселенням проблем не було. Заселилися на годину швидше, ніж було домовлено, що безсумнівно є великим плюсом.",Nan,10.0,10.0,verhovina.uk.html
