title,pos_text,neg_text,ratingValue,bestRating,hotel
"Не очікували, що готель знаходиться так далеко від центру.","Не очікували, що готель знаходиться так далеко від центру. І вивіски ніякої толком не було. Але комфорт і привітність на високому рівні. І сніданки смачні.",Nan,8.8,10.0,galian.uk.html
Комфорт відповідає ціні,"Смачні сніданки, чисті помешкання, турботливий персонал та власниця. Наявність парковки.",сантехніка потребує косметичного ремонту . Зі зламаним зливний бачком якось зовсім не комільфо.,6.7,10.0,galian.uk.html
"Охайний номер, приємні у спілкуванні робітники готелю,...","Охайний номер, приємні у спілкуванні робітники готелю, смачні безкоштовні сніданки. Приємний безкоштовний релакс у басейні та вечірній чай на терасі .",Круті сходинки,10.0,10.0,galian.uk.html
Приємне місце,"Розташування нас влаштовувало, було все необхідне для короткого перебування, все справне, щоденне прибирання, дуже привітний персонал і смачні свіжі поживні сніданки.","звукоізоляція, на жаль, не дуже . Чули зубожіння сусідів.",8.8,10.0,galian.uk.html
Чудове помешкання,Комфортно і чисто. Привітний персонал. Цілком відповідає кількості зірок. Є парковка. Смачні сніданки.,"Трохи важко знайти адресу, знаходиться в дворах між житловими будинками.",10.0,10.0,galian.uk.html
Сніданок чудовий як і персонал,Сніданок чудовий як і персонал,"В номері на вікні не було Москвітіної сітки . Тому перед сном довелося бігати за 3 комарами) полювання було вдалим, тому спав спокійно",10.0,10.0,galian.uk.html
"Персонал ввічливий, намагалися вирішувати питання, які...","Персонал ввічливий, намагалися вирішувати питання, які виникали. Прибирання якісне.","Немає можливості внести проплату при бронюванні, що незручно, оскільки ціни в готелі значно змінюються в залежності від сезону та попиту . Заселення відбувалося протягом майже години, не дивлячись на те, що ми приїхали після 16.00 . Прохання видати чек чи будь - яке інше підтвердження оплати викликало на рецепції збереженість і ще додаткову затримку заселення: координатор декілька разів комусь телефонувала, а ми дуже довго чекали . Номер ми бронювали покращений, але він виявився дуже маленький, зі старими меблями . кватирка на провітрювання не відчинялися (зламана). До центру міста і до моря добиратися машиною довго - пробки та ями, міським транспортом незручно - з пересадками . Тому ми частіше ходили пішки (близько години). Ціна за номер, на мій погляд, не відповідає якості.",5.4,10.0,galian.uk.html
"Відгук про гостинний двір "" Dalian ""","- сніданки були дуже смачними - персонал допомагав порадами по тому, як орієнтуватися у місті - дуже зручне ліжко - Кракова доступність до магазинів і зупинок громадського транспорту","- Розташування у досить віддаленому куточку Одеси . - готель знаходиться у Дворцовій зоні, що створює деякі незручності, враховуючи досить умных сусідів.",7.9,10.0,galian.uk.html
Гарне враження.,"Хороший готель, привітний персонал. Турботливі, уточнюють приїзд, рекомендують історичні та визначні місця.","Дивно, що парковка платна. В ресторані під час сніданку чомусь не подають блюдечка до чашок.",9.2,10.0,galian.uk.html
Задоволені. Рекомендуємо.,"Вибрали американський сніданок . Бажано доповнити сніданок напоєм (чай, кава). Персонал ввічливий . Розташування міні-готелю для нас було дуже зручним . інтер'єр своєрідний . Wi Fi працював добре . ночували одну ніч . Рекомендуємо цей міні-готель.",Nan,10.0,10.0,galian.uk.html
Прекрасний вікенд😊,"Меню мало свої особливості:особливо здивувало,що напої не розливаються порційно-хоча мабуть в цьому з свої переваги","Слово "" глінтвейн' ' для лікування горла та припухлості голосу колеги викликало здивування персоналу . Ми були Перевалов льодяниками з "" + "") ) )",7.1,10.0,galian.uk.html
"Сніданок не ситний, каву потрібно купувати додатково","Сніданок не ситний, каву потрібно купувати додатково При подачі, блюдо холодне","В ліжку та раковині волосся, таке враження що не прибирають, при чому волосся, судячи з усього або чоловіче, або з статевих органів",3.3,10.0,galian.uk.html
"Приватна крита паркова, до Дерибасівської орієнтовно 20 хв ...","Приватна крита паркова, до Дерибасівської орієнтовно 20 хв пішки, привітний персонал","У приміщенні готелю є банкетний зал, музику від весілля було чути дуже добре! Дуже скромний сніданок, можна лише перекусити.",7.9,10.0,galian.uk.html
Чистий та комфортний номер.,Чистий та комфортний номер. В номері є кондиціонер та фен. Ідеальне співвідношення ціни та якості.,Готель розташований в дворі багатоповерхівок. Не зручні сходи.,9.6,10.0,galian.uk.html
"Ліжко комфортне, сніданки добрі, мапа та щирі пояснення щодо...","Ліжко комфортне, сніданки добрі, мапа та щирі пояснення щодо транспорту та напрямків від ресепшені стали у нагоді.","Можливості відчинити вікно не передбачено (добре, що є вентилятор на вулицю). Килимок у ванні був брудний, тож покоївка його забрала й користувалися рушником для ніг. В один з двох ранків була проблема з молоком для кавової машини, тож пили без молока.",7.5,10.0,galian.uk.html
"Смачна кава і сніданок ""фітнес"", приємний персонал.","Смачна кава і сніданок ""фітнес"", приємний персонал. В номері був наявний кондиціонер, холодильник, сейф, фен, рушники і т.д.","Забитий душ, вода довго не сходить. Більшість сніданків невеликі, можна залишитись голодним, особливо для чоловіка. Якщо купувати такі сніданки, то ціни завищені. Не дуже зручне місцерозташування для гостей без власного автотранспорту, відносно довго та незручно добиратись громадським транспортом до пляжів та центру.",6.7,10.0,galian.uk.html
"Дуже шумно (стіни тонкі), було чути і з верху сусідів і через стінку.",Nan,"Чекали сніданок майже 40 хв., мені принесли, а чоловікові ні, (але ж я не буду їсти, а чоловік на мене дивитися, тим паче, що замовлення однакові). Некрасиво вийшло, навіть не вибачилися. Так і залишили готель, без сніданку.",5.8,10.0,galian.uk.html
Оптимальне співвідношення ціни-якості - 850 грн за добу на двох,"Сподобалося співвідношення ціна - якість, чисто, щоденна зміна рушників, наявність Дондюка, холодильника, телевізора, сніданок входить в ціну номера, наявність відкрито тераси, дуже смачні налисники з сиром та домашні яйця!",Було б добре замість щоденно видачі одноразових мила і шампунь прикріпити біля умивальника і в душі дозатори з цими засобами гігієни.,10.0,10.0,galian.uk.html
"""Не замовляйте номера зі сніданками""","затишно . В принципі можна сказати що непогано, якби не Обська організація сніданків.","Бездарна організація сніданків . Вимушені були шукати ресторан поруч, щоб поснідати сім'єю, оскільки бовдур, що нас обслуговував у ресторані готелю, "" забув "" видати нам один із сніданків . "" Треба дивитись камери (што?), мені кухня видала його, я не знаю де він дівся "" й тому подібне . Один йолоп зіпсував враження про весь готель . Порада керівництву - гарно вирувати персонал ресторану.",5.4,10.0,galian.uk.html
"Ціна відповідає якості в сезон дурних цін в Одесі (липень), коли можна стригти купони з приїжджих","В принципі зважаючи на шалені ціни (Одеса передає привіт Криму і скоро залишиться без туристів) ціна можна сказати з натяжкою відповідала якості, адже це був найдешевший готель з більш - менш нормальними відгуками на ці дати у місті . Наступний готель, в якому я зараз живу - це треш, угарі і Содом ...","В липні в Одесі надзвичайно (не відповідає якості) дороге житло, за такі ж гроші можна зняти апартаменти на Канарських островах, від 500 до 1000 грн на Тенеріфе, квиток з Кракова - 50 євро",7.1,10.0,galian.uk.html
"Для приємного відпочинку - пошукайте щось інше. Зупинитися на ніч проїздом, щоб виспатися - ок.","Номер досить чистий, сантехніка в хорошому стані, ліжко зручне, є кондиціонер і він працює, із зачиненим вікном шум з вулиці не турбував.","Неприємний запах в холі (затхле), килими на сходах, персонал і сервіс - це різні світи, сніданок дуже базовий . Постіль - не біла, а кольорова, оцінити ступінь чистоти важко . Район не веселий.",4.6,10.0,galian.uk.html
Все було супер:) за дану ціну готель навіть перевищив мої...,"Все було супер:) за дану ціну готель навіть перевищив мої очікування) Надзвичайно смачний і ситний сніданок. Розташування готелю досить зручне, зупинка знаходиться 5 хв від готелю.",Nan,9.6,10.0,galian.uk.html
"Кухня так собі, обіди не рекомендую.",Nan,"Кухня так собі, обіди не рекомендую. Персонал трохи повільний, сніданок чекали 25 хвилин. Була перевага Genius раннє поселення, то поки не посварився, то хотіли додаткову плату. Готель може бути для ночівель, зранку поснідати, піти на пляж, в центр і о 23 назад.",5.4,10.0,galian.uk.html
"Ціна, чистий номер, чиста постільна білизна","Ціна, чистий номер, чиста постільна білизна",Грозний душових піддон,5.8,10.0,galian.uk.html
"Чисто,гарно, тихо.","Чисто,гарно, тихо.",Відсутність освіжувач повітря в ванній кімнаті.,10.0,10.0,galian.uk.html
"Чисто, непоганий сніданок ","Чисто, непоганий сніданок Загалом, добрий готель для короткотривалих подорожей.",Nan,8.8,10.0,galian.uk.html
"Розташування, сніданок включено, приємний персонал, недалеко...","Розташування, сніданок включено, приємний персонал, недалеко до трамвайної зупинки. Помірні ціни.",Nan,9.2,10.0,galian.uk.html
"Чистий номер, гарний душ, привітний персонал","Чистий номер, гарний душ, привітний персонал","сніданок смачний, але не дуже великий",9.6,10.0,galian.uk.html
"Чистий номер, працює кондиціонер","Чистий номер, працює кондиціонер",Nan,9.2,10.0,galian.uk.html
Рекомендуємо.,Рекомендуємо. Ціна=якість,Nan,7.5,10.0,galian.uk.html
Все,Все,Nan,10.0,10.0,galian.uk.html
Загалом все нормально.,Загалом все нормально.,Цього разу номер був з запахом курива. Відповідно було не дуже комфортно.,7.1,10.0,galian.uk.html
Жах!,Жах!,Все!,2.5,10.0,galian.uk.html
не сподобалося нічого,не сподобалося нічого,"готель виявився не готелем а гостинним двором . сніданок ніякий - хліб з ковбасою, або арене чи варене яйце + чай . Готель знаходиться над сауною, жахливо пахне . приміщення у зварні металевій конструкції ...",5.0,10.0,galian.uk.html
Напевно я пропущу цей пункт.,Напевно я пропущу цей пункт.,"шумоізоляція, да її просто немає . Навіть килим на стіні не спасає від храпу в сусідній кімнаті . Що б зарядити девайс потрібно вимкнути або холодильник або телевізор . Або зарядити можна в туалеті над унітазом . Пульт настільки вбитий що канали перекликались на самому ТВ . Душ Грозний і кабіна душевна майже розвалилась . Який ще і протікає . Двері до кімнати просто атрибут Тому-то через розстановку ліжок вони не закриваються . Ліжка не зручні, і їх тяжко використати для сну . Батарея шкварчить і не регулюється, коли за вікном +17 було . Краєвид з вікна, хм та його немає . Кондиціонер в кімнаті просто для наявності тому що пульт до нього не знайдено було . Готель розташований десь в гребенях, крім як на таксі до нього не доберешся . За березень місяць це 4 ятий мій готель, і самий гірший .. Чесно більше ні ногою туди, навіть і надаремно.",3.3,10.0,galian.uk.html
Номер гарно прибраний і при такій маленькій вартості у ньому ...,"Номер гарно прибраний і при такій маленькій вартості у ньому було все необхідне - душ, холодильник, телевізор, кондиціонер і навіть охолоджені напої в холодильнику за окрему плату.","Була проблема з розетками. Щоб зарядити телефон потрібно було виключити або телевізор, або холодильник. І щоб дістатись в номер потрібно підніматись трохи крутими сходами. Трішки неприємно, якщо великий багаж.",9.6,10.0,galian.uk.html
"Хороший персонал, чудовий сервіс, сподобався номер (дуже...","Хороший персонал, чудовий сервіс, сподобався номер (дуже просторий і є всі необхідні для життя речі)","Багато сходів, розташування, деякі рушник були не чисті.",8.8,10.0,galian.uk.html
Смачний сніданок.,Смачний сніданок. Доброзичливий персонал. Тихо.,Неприємний запах вологи у номері при заселенні.,7.1,10.0,galian.uk.html
"Сніданки, місце розташування, номер.","Сніданки, місце розташування, номер.",Куріння в номерах для не курячих....,8.8,10.0,galian.uk.html
"тихое место, чисто, Сметливый персонал.","тихое место, чисто, Сметливый персонал.",Nan,6.3,10.0,galian.uk.html
