title,pos_text,neg_text,ratingValue,bestRating,hotel
Обратно в СССР,Красивый вид на реку. Много источников освещения,"Совершенно советский отель. Ремонт не делался лет 30. В номере холодно. Одеяла лежали не на кровати, а в шкафу, и почему-то чуть ли не детского размера. Ванная в таком состоянии от старости, что стать в нее принять душ было неприятно",5.4,10.0,dnepropetrovsk.uk.html
постель чистая.,постель чистая. расположение отеля в самом центре. отремонтировали холл. что приятно радует .,ездим не первый год. телевизор как не работал- так и не работает. грязные шторы. разбитый умывальник. течет вода с крана. в холодное время дует и с окон и двери. в этом  эконом номере ничего не меняется годами.,5.8,10.0,dnepropetrovsk.uk.html
Худший отель в лучшем месте,,"Страшный номер. Вода из крана течёт ржавая, даже коричневая. Разруха и грибок. Холодные батареи в конце ноября. В номере нет ни чайника, ни воды. Нет и кулера на коридоре. Запить лекарства пришлось желтой водой из крана. Полотенца серого цвета. Тапочек даже копеечных нет. 
Никогда не останавливайтесь в этом отеле.",4.2,10.0,dnepropetrovsk.uk.html
Великолепное расположение.,Великолепное расположение. Радушие персонала рецепции и кафетерия.,"На момент бронирования я уже имел опыт проживания в этой гостинице, правда в номере стандарт, и тогда я остался доволен качеством проживания.  Однако в этот приезд мне достался двухкомнатный полулюкс в ужасном состоянии: древняя плитка и сантехника, унитаз оторван от пола и шатается, обои в комнатах клочьями свисают со стен и потолка; просто не мог себе представить что такие номера с ремонтом 25 летней давности еще сохранились. Отдельно о шумоизоляции: номер двухкомнатный, спальня граничит стенами с кладовой горничной и шахтой грузового лифта, хорошо что лифт ночью не ездил но достаточно было визитов горничной. Слышимость великолепная так что выспаться не получиться.  Кстати о кроватях: в крохотной спальне две раздельные одинарные кровати (нонсенс) с матрасами ужасного качества. Белье и полотенца в критичной степени износа. Парковка внутри двора хронически занята, так что пришлось колесить по округе в поисках места для авто.",5.0,10.0,dnepropetrovsk.uk.html
Гостиница в самом центре.,"Гостиница в самом центре. Стоит очень недорого. В номере полноценная ванна + всегда есть горячая вода. Ремонт ещё ""советский"", но бельё чистое, уборка каждый день. Для того, чтобы переночевать/переодеться/искупаться в самый раз.","Не то что бы для меня это сильно важно, но многим может не понравиться: Гостиница довольно старая с соответствующим ремонтом в номерах.",9.2,10.0,dnepropetrovsk.uk.html
"Не смотря ни на что, отличный отель,место и вид на город","Расположение и вид из окон шикарные. Очень приятный персонал, менялись ежедневно. По телефону все ответы корректные. Горячая вода есть. Отопление не очень но есть. Ремонт был давно но чисто, постельное и полотенца - чистые и новые.   Однако...(негатив в другом разделе)","Понятно, что стоимость 670 грн за сутки не много, но это не повод оставлять в таком замечательном отеле  окна 30летней давности, заклеив их бумагой и мылом по старинке, и оставив плохо закрывающуюся форточку сквозить. Было очень холодно из-за этого, но зато в номере было 2 комплекта одеял+покрывало, мы этим и спасались. За эту сумму я могла бы снять тёплую квартиру,да, но не везде пускали с животным. Очень не хватало чайника.",8.3,10.0,dnepropetrovsk.uk.html
не стоит останавливаться в этой гостиннице кроме как в дешевой ночлежке,красивый вид из окна на реку Днепр,"Худшая из гостинец, что я видел!!! СССР 80-х, только все уже сломано до вас... На улице -12, а в окнах щели в палец, плитка разбита, душ еле работает... Думаю 3 звезды оттель получил за горячую воду в номере",4.2,10.0,dnepropetrovsk.uk.html
Есть комфортные номера,Есть комфортные номера,"Холодно. очень холодно. заказывал Через Букинг, по приезду номер не забранирован. Поддержки букинга нет, дали совсем другой номер, какой был.",5.8,10.0,dnepropetrovsk.uk.html
Понравилось,Отличное месторасположение. Отзывчивый персонал. В номере было тепло,"Когда принимала душ, подскользнулась и упала в ванной, хорошо, что не сильно ударилась. Очень скользко",9.2,10.0,dnepropetrovsk.uk.html
"течь в кране, на полу вода, раковина забита, сломан...",,"течь в кране, на полу вода, раковина забита, сломан держатель душа, не работал холодильник, балконная дверь не закрывалась, в пульте к телевизору севшие батарейки.",7.5,10.0,dnepropetrovsk.uk.html
Ужасно,,"Отель ужасный, грязно в номерах и воняет как у старой бабушки, все старое, заселилась в улучшеный стандарт стоимостью 800грн, сказать что была в шоке ничего не сказать: грязь, пятна на ковролине, постельное и полотенца  в пятнах, вся мебель старая и убитая, пропаленные шторы на окнах, убитый туалет, после моих возмущений администратор номер поменяла, единственное что изменилось, это чистое постельное и более менее чисто было в номере, а так обои висят, мебель старая, все та же вонь в номерах и холлах. Цена черезчер завышена!!! Даже расположении не спасает!!  Категорически не рекомендую!!",3.8,10.0,dnepropetrovsk.uk.html
Средне конфортно,Расположение в центре города.Доступ ко всем инфраструктурам.,"Старая мебель и наличие старых,окон которые не закрываются ,все время дует.В номере холодно ,отсутствия отопление.",7.5,10.0,dnepropetrovsk.uk.html
Сделать качественный ( не косметический) ремонт!!!!,Чистота постели. И полотенец,"Разбитая раковина, номер холодный ( окна не заменены) дует со всех дыр!!! Номер не отапливаемый, чайника нет, фен по требованию( хотя в услугах было написано что фен есть)Лудки сарыче деревянные выпадают с проемов. Холодильник времён СССР , дверка не закрывается. Шкаф тоже времён СССР, скрипит, вешалки всего 3, лампочки в светильниках не горят( а на фото в рекламе номера все горят). Вообщем номер не стоит тех денег , которые были оплачены.",5.8,10.0,dnepropetrovsk.uk.html
Ужас,Рецепшен,"Мы вчера поселились в этой гостинице . На рецепшине интерьер нормальный . Но когда нас поселили в эту ужасную гостиницу я была в шоке . В ходе лучше чем в комнате . Я проживала не одна , а со своим мужем . Полотенце нам для 2-х человек не предоставили . Постель грязная , у нас был включён завтрак но на рейкпшене даже не сказали об этом . Видно они были сильно заняты . Отношение ужасное !!! Туалетной бумаги было очень мало. Советую ехать тем людям в гостиницу которые любят экстремальное путешествие.!!!",3.8,10.0,dnepropetrovsk.uk.html
На одну ночь...сойдет,"Расположение отличное, на набережной. С 11 этажа открывался замечательный вид на Днепр. В номере чисто и был гель для душа, шампунь. Батареи работали и было тепло.","Старая советская мебель и ремонт тоже времен Советского Союза. Телевизор показывал отдельные каналы, остальные все с помехами. Обещанного интернета проводного в номере не было. Неприятный запах в ванной от канализации. Выключатели реагируют на нажатие плохо. Звукоизоляции никакой.  Краны в умывальнике отваливаются.",5.4,10.0,dnepropetrovsk.uk.html
"Отопление отсутствовало, холод в номере страшный. Все старое, изломанное",,"Старая, изломанная мебель. Старые советские деревяные окна, из которых сташный сквозняк. Отопление не работало, спали с дочкой в верхней одежде. Жесть! Просто какой то квест!!!",3.8,10.0,dnepropetrovsk.uk.html
"Месторасположение и администраторы, которые вошли в наше...","Месторасположение и администраторы, которые вошли в наше положение и заселили раньше времени","Никогда не могла предположить, что в 2019 году есть ещё такие условия. Здесь ремонт необходимо было сделать лет 50 назад, слышимость сумасшедшая, холодина ужасная, за антисанитарию вообще молчу. С детьми категорично нельзя сюда ехать.",4.2,10.0,dnepropetrovsk.uk.html
