title,pos_text,neg_text,ratingValue,bestRating,hotel
"Очень неплохо, есть желание вернуться.","Внешне совдеповский бетонный куб внутри оказался приятным современным отелем. Десять минут пешком до авто и ЖД вокзалов, пять минут до центральной площади, отличные завтраки в том числе блюда прикарпатской кухни.",Ранний заезд за 70% стоимости суточного проживания это немного перебор))),8.3,10.0,nadiya-ivano-frankivsk.uk.html
Очень удобно расположен отель- 10 минут пешком до вокзала и...,Очень удобно расположен отель- 10 минут пешком до вокзала и до исторического центра. Вкусный разнообразный завтрак шведский стол. Номер очень просторный.,"Очередь на ресепшене - всего два человек, бывает не справляются, но работают быстро",10.0,10.0,nadiya-ivano-frankivsk.uk.html
В следующий раз буду искать другой отель для проживания в Ивано-Франковске,"1. Кухня - выше всяких похвал, как входящий в стоимость номера завтрак, так и ресторан как таковой 2. Организация службы портье производит наилучшее впечатление","1. Интернет. Это не интернет, даже не издевательство; это просто неудачная шутка 2. Стоянка. Приехал после 21:00, место искал минут 15 пока кто-то не выехал. Стоянка забита машинами с ивано-франковскими номерами 3. В 7:30 горничные устроили перекрикивание в коридоре, кажется, что-то искали -- разбудили гораздо раньше, чем мне бы хотелось. Ужасно",7.1,10.0,nadiya-ivano-frankivsk.uk.html
Был приятно удивлён завтраками и возможностью очень раннего заезда,"Мне необходимо было сделать ранний заезд и администрация с удовольствием пошла на встречу, что было очень приятно. Удалось попасть на вкусный завтрак где есть более-менее хороший выбор по еде + своё производство сосисок, которые не были похожи не бумагу, как обычно предлагают на завтраках в отелях. Также понравилась выпечка тоже их производства. Играли новогодние песни, персонал улыбался и всё это создавало приятную атмосферу в холодный зимний день.  Номер чистый и тихий, что для меня было очень важным, так как нужно было хорошо выспаться. Месторасположение в 5 минутах от центральной улицы.",Нет замечаний,10.0,10.0,nadiya-ivano-frankivsk.uk.html
"Центр
","Центр
Хорошие завтраки
Комфортная температура воздуха в номере
Чисто","Не закрывалась на замок дверь в санузле, плюс высокие пороги. Система вкл/выкл света немного странная.
Но, это, если придираться.",9.6,10.0,nadiya-ivano-frankivsk.uk.html
"Удобное расположение, я впервые в Ивано-Франковске, остались...","Удобное расположение, я впервые в Ивано-Франковске, остались чудные впечатления от отеля, чисто, уютно, комфортно, если приеду ещё, мимо этого отеля точно мимо не пройду! Спасибо персоналу, на мою бронь(стандартный номер) предложили полулюкс за ту же цену. Я осталась с хорошим впечатлением!",,9.6,10.0,nadiya-ivano-frankivsk.uk.html
"Месторасположение, чистота, комфорт, завтрак.","Месторасположение, чистота, комфорт, завтрак. В номере тепло (20.11.19)","Замечательный отель, чисто, удобно, комфортно, в самом центре. Персонал приветливый, улыбчивый, отзывчивый. Все соответствует описанию. Если буду в городе, остановлюсь только здесь.",10.0,10.0,nadiya-ivano-frankivsk.uk.html
"Не был в других отелях Франковска, но этот удивил очень...","Не был в других отелях Франковска, но этот удивил очень приятно, приветливый персонал, уютные чистые номера, обалденные завтраки. Рекомендую одним словом",,10.0,10.0,nadiya-ivano-frankivsk.uk.html
"Мне очень понравился отель, останавливаюсь уже пятый раз.","Мне очень понравился отель, останавливаюсь уже пятый раз. Много путешествую по работе отель Nadiya один из лучших на сегодняшний день в Украине. Желаю удачи и успехов коллективу!",,10.0,10.0,nadiya-ivano-frankivsk.uk.html
Завтрак - как всегда превосходный шведский стол.,Завтрак - как всегда превосходный шведский стол. Расположение очень удобное. Отель для меня самый интересный в городе.Перепробовал многие за 10 лет. Надия- лучший.,,10.0,10.0,nadiya-ivano-frankivsk.uk.html
Комфорт в отдыхе очень важен,"Брали номер Люкс Джуниор. В номере чисто (без посторонних запахов), уютно, есть все необходимое для комфортного проживания. Санузел без запаха цвили, гарячая вода круглые сутки. Еда в ресторане вкусная (обедали), завтраки хорошие, но кофе среднечковый. Персонал отеля приветливый, всегда готовы помочь в любом деле (помогли распечатать необходимое, связывались с аэропортом). Есть услуги салона красоты (парикмахер), что очень удобно, красота не выходя из отеля))","Необходимо решить проблему с рестораном - когда в ресторане свадьба (особенно в обоих залах), персонал ресторана всячески пытается увильнуть от содействия. Во время свадеб холл отеля превращается в вокзал, толпы гостей снуют туда-сюда (на улицу покурить, просто громко пообщаться в холле отеля и т.п.). Если вы приехали отдохнуть, то создается впечатление, что вам не рады, о приватной встрече в фойе отеля и речи быть не может. К тому же дискотека до 1.00 ночи - это уж слишком. Сделайте отдельный вход в ресторан с улицы для гостей на свадьбу, изолируйте на время свадеб фойе отеля, это не сложно. Ну и придерживайтесь временных рамок - в выходной день можно шуметь до 23.00...",8.8,10.0,nadiya-ivano-frankivsk.uk.html
Хороший отель.,Хороший отель.,"Ресторан и отель, заточены на свадьбы и мероприятия. Для постояльцев доступ в ресторан ограничен во время мероприятий.
Шумно и громко во время пати.",9.6,10.0,nadiya-ivano-frankivsk.uk.html
Все понравилось.,"Все понравилось. При поселении девочки на рицепшине дали номер выше классом, чем был забронирован. Видно, что в отеле за всем следят. Завтрак включён - шведский стол.","Немного разочаровала парковка, все ставят машины в хаотичном порядке и парковщики не спешат помочь припарковаться - за что 75 грн. (сутки) непонятно.",10.0,10.0,nadiya-ivano-frankivsk.uk.html
В целом все ожидания были оправданы.,"В целом все ожидания были оправданы. Удобная кровать, шикарный завтрака, отличное расположение. Уверен, если буду еще раз в Ивано-Франковске, обязательно поселюсь в этом же отеле!",Было немного шумно - окна выходили на оживленную дорогу и было слышно музыку из ресторана.,8.3,10.0,nadiya-ivano-frankivsk.uk.html
Хороший отель во всех смыслах,"Чисто, удобная кровать, от ЖД вокзала 10 минут пешком, есть продуктовый магазин у входа с нормальными ценами, хороший завтрак, приветливый персонал, согласились поменять мой 2ух местный на одноместный номер, поскольку я приехал без пары, а разница в цене 1000 грн, за это отдельное спасибо","Плохо работало окно, на площади перед отелем шумно, играет музыка в 11 вечера",9.6,10.0,nadiya-ivano-frankivsk.uk.html
Отель европейского уровня,"Отличное расположение отеля. Персонал не навязчивый и профессиональный, особенно в ресторане. Номер был чистый и ухоженный. Потрясающее сочетание цены/качества.",Всё понравилось. Было очень комфортно.,10.0,10.0,nadiya-ivano-frankivsk.uk.html
Этот отель для меня очень много значит .,Этот отель для меня очень много значит .  Я жил и работал недалеко и проводил все свое время юности в этом отеле  .  Сейчас сожалению с каждым годом всё хуже  .  Персонал относится плохо   Вызов для меня такси для них  Напрягом  .  Кофе хороший вкусный но бесплатный завтрак он не выходит   Приходилось каждое утро кофе себе покупать у них  .  Во время покидание отеля постоянно хотят штрафовать   В прошлом году оштрафовали за пятно от шоколада на  Мягком  кресле   Парковка автомобиля сейчас ним входит в стоимость проживания .   Ключи от номера очень старые с большими неудобными пластиковыми брелками  Позавчера когда я уезжал брелок сломался и они мне сделали замечание    Это  просто жесть    Качество телевидения в номере не изменилась по-моему 90 годов  Течение прошлой недели  Состоялось 5 свадьб  В ресторане  Отеля  Отдохнуть вечером в номере нереально   Чтобы оплатить номер при выезде   Их терминал не принял ни одну из моих трёх банковских карт   Я вышел на улицу и снял наличные в банкомате из этих трёх разных счетов   Я расчитывал что с ними наличными   Прошлом году снимал люкс он не стоит этих  денег . В этом году снимал  обыкновенный номер  .   В общем я недоволен,,6.3,10.0,nadiya-ivano-frankivsk.uk.html
"Отличное местоположение, близко к центру, очень понравился...","Отличное местоположение, близко к центру, очень понравился завтрак, большой выбор. Номер удобный, хорошее соотношение цена-качество. Если в будущем еще буду в Ивано-Франковске, то безусловно остановлюсь здесь.",Было бы неплохо если бы в номере был чайник и принадлежности к нему.,8.8,10.0,nadiya-ivano-frankivsk.uk.html
"Забронирую еще там номер, если прийдется побывать в Ив.Франковске","Завтрак супер всё вкусно и свежее, можно кушать внутри или на открытом воздухе, расположение отеля отличное, в комнатах  коридорах чисто, тихо и спокойно. Очень красивый вид с окна на город, хорошая зеленая зона у отеля.",,10.0,10.0,nadiya-ivano-frankivsk.uk.html
Мне не понравился эконом двухместный!,Мне не понравился эконом двухместный! маленький номерок с старым телевизором ! он не стоит 900 грн.за 700 можно снять шикарную квартиру!!! и я готова была оттуда бежать когда девочки Ирина с ресепшина мне предложила номер Стандарт -шикарный просторный!!! девушка очень классная!!! конфликт уладила быстро!,,10.0,10.0,nadiya-ivano-frankivsk.uk.html
Номер чистый и комфортный.,"Номер чистый и комфортный. Все необходимое есть. Месторасположение идеально, в пешей доступности от жд вокзала и исторической части города. Завтраки хорошие",,10.0,10.0,nadiya-ivano-frankivsk.uk.html
Отличный отель в отличном городе!,"Отличный отель в отличном городе! Практическив самом центре. везде можно дойти пешком и с ЖД вокзала, и даже из аэропорта, за 30 минут как это сделал я)))) Завтрак отличный большой выбор блюд. чай. кофе Спасибо деовчкам на ресепшене что проапгрейдили мой номер из одноместного до люкса))) Всегда приятно такое гостеприимство! Когда буду в следующий раз во Франковске обязательно остановлю там же!",Нет такого,10.0,10.0,nadiya-ivano-frankivsk.uk.html
Полулюкс,"Я уже ночевал в этом отеле 9 августа, после путешествия вернулся сюда опять 11 августа и снял одноместный номер, по приезду, мне сделали комплимент и дали номер в три раза лучше моего, там очень и очень комфортно, есть телевизор, большой, большая ванная комната",,10.0,10.0,nadiya-ivano-frankivsk.uk.html
"Хороший отель-выручалочка для тех, кто проездом в Ивано-Франковске","Приемлемая цена. Чистый аккуратный нормер, есть все необходимое: душ, вай-фай, холодильник, фен и т д.  Лучше, чем я ожидала от переделанного советского отеля. Завтрак не пробовала, не знаю. Недалеко от жд вокзала, в минуте ходьбы еще: круглосуточная аптека, супермаркет Вопак, магазин игрушек Антошка.","Только одна розетка, еще бы одну около кровати было бы неплохо сделать.",10.0,10.0,nadiya-ivano-frankivsk.uk.html
Чисто аккуратно.,Чисто аккуратно. Обильные вкусные завтраки. все необходимые мыльные принадлежности в наличии.,Значительных недостатков не выявлено. Одеяло могло бы быть пошире.,10.0,10.0,nadiya-ivano-frankivsk.uk.html
Все великолепно ,"Все очень прекрасно, от вокзала идти 10 минут, здание большое, не пропустишь) При входе есть регистрация, на ней очень крутые администраторы) Номер просторный, душ супер, и фен есть, но тапочек нет, их нужно отдельно приобрести. Завтрак - шведский стол, очень вкусно.
10/10",,10.0,10.0,nadiya-ivano-frankivsk.uk.html
