Unnamed: 0,title_ru,pos_text_ru,neg_text_ru,ratingValue,bestRating,hotel,title,pos_text,neg_text
0,"Очень неплохо, есть желание вернуться.","Внешне совдеповский бетонный куб внутри оказался приятным современным отелем. Десять минут пешком до авто и ЖД вокзалов, пять минут до центральной площади, отличные завтраки в том числе блюда прикарпатской кухни.",Ранний заезд за 70% стоимости суточного проживания это немного перебор))),8.3,10.0,nadiya-ivano-frankivsk.uk.html,"Дуже непогано, є бажання повернутися.","Зовні попівський бетонний куб всередині виявився приємним сучасним готелем . Десять хвилин пішки до авто і ЖД вокзалів, п & #39; ять хвилин до центральної площі, відмінні сніданки в тому числі страви прикарпатської кухні.",Ранній заїзд за 70% вартості добового проживання це трохи перебір)))
1,Очень удобно расположен отель- 10 минут пешком до вокзала и...,Очень удобно расположен отель- 10 минут пешком до вокзала и до исторического центра. Вкусный разнообразный завтрак шведский стол. Номер очень просторный.,"Очередь на ресепшене - всего два человек, бывает не справляются, но работают быстро",10.0,10.0,nadiya-ivano-frankivsk.uk.html,Дуже зручно розташований готель-10 хвилин пішки до вокзалу і ...,Дуже зручно розташований готель-10 хвилин пішки до вокзалу і до історичного центру. Смачний різноманітний сніданок шведський стіл. Номер дуже просторий.,"Черга на ресепшені - всього два людина, буває не справляються, але працюють швидко"
2,В следующий раз буду искать другой отель для проживания в Ивано-Франковске,"1. Кухня - выше всяких похвал, как входящий в стоимость номера завтрак, так и ресторан как таковой 2. Организация службы портье производит наилучшее впечатление","1. Интернет. Это не интернет, даже не издевательство; это просто неудачная шутка 2. Стоянка. Приехал после 21:00, место искал минут 15 пока кто-то не выехал. Стоянка забита машинами с ивано-франковскими номерами 3. В 7:30 горничные устроили перекрикивание в коридоре, кажется, что-то искали -- разбудили гораздо раньше, чем мне бы хотелось. Ужасно",7.1,10.0,nadiya-ivano-frankivsk.uk.html,Наступного разу буду шукати інший готель для проживання в Івано-Франківську,"1. Кухня - вище всяких похвал, як включений у вартість номера сніданок, так і ресторан як такої 2. Організація служби портьє виробляє найкраще враження","1 . Інтернет . Це не інтернет, навіть не знущання; це просто невдалий жарт 2 . Стоянка . Приїхав після 21 : 00, місце шукав хвилин 15 поки хтось не виїхав . Стоянка забита машинами з Івано - Франківський номерами 3 . О 7 : 30 покоївки влаштували перекривання в коридорі, здається, щось шукали - розбудили набагато раніше, ніж мені б хотілося . жахливо"
3,Был приятно удивлён завтраками и возможностью очень раннего заезда,"Мне необходимо было сделать ранний заезд и администрация с удовольствием пошла на встречу, что было очень приятно. Удалось попасть на вкусный завтрак где есть более-менее хороший выбор по еде + своё производство сосисок, которые не были похожи не бумагу, как обычно предлагают на завтраках в отелях. Также понравилась выпечка тоже их производства. Играли новогодние песни, персонал улыбался и всё это создавало приятную атмосферу в холодный зимний день.  Номер чистый и тихий, что для меня было очень важным, так как нужно было хорошо выспаться. Месторасположение в 5 минутах от центральной улицы.",Нет замечаний,10.0,10.0,nadiya-ivano-frankivsk.uk.html,Був приємно здивований сніданками і можливістю дуже раннього заїзду,"Мені необхідно було зробити ранній заїзд і адміністрація із задоволенням пішла на зустріч, що було дуже приємно. Вдалося потрапити на смачний сніданок де є більш-менш хороший вибір по їжі + своє виробництво сосисок, що не були схожі не папір, як зазвичай пропонують на сніданках в готелях. Також сподобалася випічка теж їх виробництва. Грали новорічні пісні, персонал посміхався і все це створювало приємну атмосферу в холодний зимовий день. Номер чистий і тихий, що для мене було дуже важливим, так як потрібно було добре виспатися. Місцезнаходження в 5 хвилинах від центральної вулиці.",немає зауважень
4,"Центр
","Центр
Хорошие завтраки
Комфортная температура воздуха в номере
Чисто","Не закрывалась на замок дверь в санузле, плюс высокие пороги. Система вкл/выкл света немного странная.
Но, это, если придираться.",9.6,10.0,nadiya-ivano-frankivsk.uk.html,центр,Центр Хороші сніданки Комфортна температура повітря в номері Чисто,"Чи не закривалася на замок двері в санвузлі, плюс високі пороги. Система вкл / викл світла трохи дивна. Але, це, якщо чіплятися."
5,"Удобное расположение, я впервые в Ивано-Франковске, остались...","Удобное расположение, я впервые в Ивано-Франковске, остались чудные впечатления от отеля, чисто, уютно, комфортно, если приеду ещё, мимо этого отеля точно мимо не пройду! Спасибо персоналу, на мою бронь(стандартный номер) предложили полулюкс за ту же цену. Я осталась с хорошим впечатлением!",,9.6,10.0,nadiya-ivano-frankivsk.uk.html,"Зручне розташування, я вперше в Івано-Франківську, залишилися ...","Зручне розташування, я вперше в Івано-Франківську, залишилися чудові враження від готелю, чисто, затишно, комфортно, якщо приїду ще, повз цього готелю точно мимо не пройду! Спасибі персоналу, на мою бронь (стандартний номер) запропонували напівлюкс за ту ж ціну. Я залишилася з хорошим враженням!",Nan
6,"Месторасположение, чистота, комфорт, завтрак.","Месторасположение, чистота, комфорт, завтрак. В номере тепло (20.11.19)","Замечательный отель, чисто, удобно, комфортно, в самом центре. Персонал приветливый, улыбчивый, отзывчивый. Все соответствует описанию. Если буду в городе, остановлюсь только здесь.",10.0,10.0,nadiya-ivano-frankivsk.uk.html,"Місцезнаходження, чистота, комфорт, сніданок.","Місцезнаходження, чистота, комфорт, сніданок . У номері тепло (2011-12 )","Чудовий готель, чисто, зручно, комфортно, в самому центрі. Персонал привітний, усміхнений, чуйний. Все відповідає опису. Якщо буду в місті, зупинюся тільки тут."
7,"Не был в других отелях Франковска, но этот удивил очень...","Не был в других отелях Франковска, но этот удивил очень приятно, приветливый персонал, уютные чистые номера, обалденные завтраки. Рекомендую одним словом",,10.0,10.0,nadiya-ivano-frankivsk.uk.html,"Чи не був в інших готелях Франківська, але цей здивував дуже ...","Чи не був в інших готелях Франківська, але цей здивував дуже приємно, привітний персонал, затишні чисті номери, шикарні сніданки. Рекомендую одним словом",Nan
8,"Мне очень понравился отель, останавливаюсь уже пятый раз.","Мне очень понравился отель, останавливаюсь уже пятый раз. Много путешествую по работе отель Nadiya один из лучших на сегодняшний день в Украине. Желаю удачи и успехов коллективу!",,10.0,10.0,nadiya-ivano-frankivsk.uk.html,"Мені дуже сподобався готель, зупиняюся вже вп&#39;яте.","Мені дуже сподобався готель, зупиняюся вже вп&#39;яте. Багато подорожую по роботі готель Nadiya один з кращих на сьогоднішній день в Україні. Бажаю удачі і успіхів колективу!",Nan
9,Завтрак - как всегда превосходный шведский стол.,Завтрак - как всегда превосходный шведский стол. Расположение очень удобное. Отель для меня самый интересный в городе.Перепробовал многие за 10 лет. Надия- лучший.,,10.0,10.0,nadiya-ivano-frankivsk.uk.html,Сніданок - як завжди чудовий шведський стіл.,Сніданок - як завжди чудовий шведський стіл . Розташування дуже зручне . Готель для мене найцікавіший в городе . перепробували багато за 10 років . НАДІЯ - кращий.,Nan
