title,pos_text,neg_text,ratingValue,bestRating,hotel
Все очень понравилось!,"Все очень понравилось! Приветливый персонал, уютный номер, чистота. До центра города очень близко. Соотношение цена-качество просто супер! В следующий приезд остановимся только здесь!",,10.0,10.0,u-anity.uk.html
Отличное место расположения.,Отличное место расположения. Уютные номера. Вежливый и отзывчивый персонал. Качество завтрака оценить не могу. Кухня была на ремонте. Приемлемое соотношение цены и качества.,,7.5,10.0,u-anity.uk.html
"Чисто, просторно, тихо","Чисто, просторно, тихо","Не работал ресторан. Чтобы дождаться горячей воды, нужно было спускать воду минут 20. Ночью в номере летал большой жук. А утром оказалось, что в номере  нет фена. Словом, не советую.",5.8,10.0,u-anity.uk.html
Приятный недорогой отель в центре города.,"Отличное расположение недалеко от центра города, симпатичный номер и садик на территории отеля, есть качелька :)","Завтрак только в одном варианте, нет веган опций. Не очень чисто было в ванной.",8.3,10.0,u-anity.uk.html
"Расположение удобное, персонал приветливый и отзывчивый,...","Расположение удобное, персонал приветливый и отзывчивый, помогают в любой ситуации, идут навстречу, что компенсирует отсутствие ремонта в номере. Сам номер в целом комфортный и удобный, но пора его обновить.","4 года назад останавливались в этом же номере с балконом. За 4 года номер сильно износился. Ковры покрылись пятнами, стены тоже могли быть чище. В общем - номеру нужна косметика. То же касается сауны. Ресторан на территории не работает, а раньше в нем был щедрый завтрак.",6.7,10.0,u-anity.uk.html
"Месторасположение, персонал, попугай и гарячая вода.","Месторасположение, персонал, попугай и гарячая вода.","Неудобные подушки, ""уставшее"" состояние номера, плохая шумоизоляция, кто-то кричал в коридоре ночью, когда уже все отдыхали и это было очень слышно.",6.7,10.0,u-anity.uk.html
"Недорогое жилье в центре хорошего качества с приветливым персоналом, рекомендую.","Неплохой завтрак на выбор. Отличное расположение. Красивая территория. Кафе не с ресторанным меню, но с неплохой недорогой кухней. Приветливый, отзывчивый персонал, отдельное спасибо официанту Диане. Качество вполне соответствует цене.",Все понравилось.,9.2,10.0,u-anity.uk.html
"Приятный персонал, есть возможность оплатить банковской...","Приятный персонал, есть возможность оплатить банковской картой.","Отсутствует фен, тапочки, телевизор старый кинескопный, ковролин (мягко говоря) уставший, цена явно завышена.",7.9,10.0,u-anity.uk.html
Старый ремонт и грязные гардины,"Неплохой завтрак, есть и сок и кофе и тосты с маслом. На выбор-омлет, яичница с беконом и др. Есть маленькая стоянка на 3-4 машины","Ужасно грязное покрытие на полу, шторы и гардины стирались лет 10 назад. В мотеле все давным давно нужно освежить. Мы останавливались в двухкомнатном номере. Стоимость 980 грн, но это того не стоит. Хозяин только зарабатывает , но  вкладывать ничего не хочет.",3.8,10.0,u-anity.uk.html
"Очень хороший отель, чистый, приятный персонал ","Классное тихое расположение,все очень чисто, улыбчивый очень вежливый персонал. Останавливались в 23 просто переночевать, остались очень довольны! На обратном пути снова выберем этот отель, цена- качество супер",,10.0,10.0,u-anity.uk.html
"Отличное расположение, приятный и вежливый персонал,...","Отличное расположение, приятный и вежливый персонал, встерчает гостей красивый попугай)) Номер отличный с хорошим санузлом! можно понежится в ванной, что поможет снять усталость после дороги)) в минибаре вода и вкусняшки по хорошей цене (не переплатите в тридорога)",,10.0,10.0,u-anity.uk.html
К клиентам надо внимательно относится,,Завтрака вообще не было Отель уведомил о позднем прибытии (после 22-00) и о раннем выезде (до 8-00)  Оплату взяли как за проживание так и за завтрак которого не было  При поселении двери оказались закрыты и долго пришлось ждать  На рецепшене попросил заказать на 7-15 такси  никто не заказал и только после напоминания утром вызвали такси которое приехало быстро,4.2,10.0,u-anity.uk.html
Расположение хорошее - десять минут до центра города.,Расположение хорошее - десять минут до центра города. Легко доехать с окружной - можно не заезжать в центр. Есть парковка. В номере вся нужная техника есть(хоть и немного уставшая и подгулявшая),"старомодный дизайн в стиле ""дорогобохато-пшонка-стайл"", много комаров в номере, продавленая кровать, не очень чистый душ.",7.1,10.0,u-anity.uk.html
Очень близко к центру города.,Очень близко к центру города. Хороший завтрак и доброжелательный персонал.,"Убитая душевая кабина. Вернувшись в отель в половину первого ночи, 10 минут не мог достучаться, что бы открыли...",6.7,10.0,u-anity.uk.html
