title_ru,pos_text_ru,neg_text_ru,ratingValue,bestRating,hotel,title,pos_text,neg_text
Все очень понравилось!,"Все очень понравилось! Приветливый персонал, уютный номер, чистота. До центра города очень близко. Соотношение цена-качество просто супер! В следующий приезд остановимся только здесь!",,10.0,10.0,u-anity.uk.html,Все дуже сподобалося!,"Все дуже сподобалося! Привітний персонал, затишний номер, чистота. До центру міста дуже близько. Співвідношення ціна-якість просто супер! У наступний приїзд зупинимося тільки тут!",Nan
Отличное место расположения.,Отличное место расположения. Уютные номера. Вежливый и отзывчивый персонал. Качество завтрака оценить не могу. Кухня была на ремонте. Приемлемое соотношение цены и качества.,,7.5,10.0,u-anity.uk.html,Відмінне місце розташування.,Відмінне місце розташування. Затишні номери. Важливий і чуйний персонал. Якість сніданку оцінити не можу. Кухня була на ремонті. Прийнятне співвідношення ціни і якості.,Nan
"Чисто, просторно, тихо","Чисто, просторно, тихо","Не работал ресторан. Чтобы дождаться горячей воды, нужно было спускать воду минут 20. Ночью в номере летал большой жук. А утром оказалось, что в номере  нет фена. Словом, не советую.",5.8,10.0,u-anity.uk.html,"Чисто, просторо, тихо","Чисто, просторо, тихо","Не працював ресторан. Щоб дочекатися гарячої води, потрібно було спускати воду хвилин 20. Вночі в номері літав великий жук. А вранці виявилося, що в номері немає фена. Словом, не раджу."
Приятный недорогой отель в центре города.,"Отличное расположение недалеко от центра города, симпатичный номер и садик на территории отеля, есть качелька :)","Завтрак только в одном варианте, нет веган опций. Не очень чисто было в ванной.",8.3,10.0,u-anity.uk.html,Приємний недорогий готель в центрі міста.,"Відмінне розташування недалеко від центру міста, симпатичний номер і садок на території готелю, є гойдалка :)","Сніданок тільки в одному варіанті, немає Вега опцій . Не дуже чисто було у ванній."
"Расположение удобное, персонал приветливый и отзывчивый,...","Расположение удобное, персонал приветливый и отзывчивый, помогают в любой ситуации, идут навстречу, что компенсирует отсутствие ремонта в номере. Сам номер в целом комфортный и удобный, но пора его обновить.","4 года назад останавливались в этом же номере с балконом. За 4 года номер сильно износился. Ковры покрылись пятнами, стены тоже могли быть чище. В общем - номеру нужна косметика. То же касается сауны. Ресторан на территории не работает, а раньше в нем был щедрый завтрак.",6.7,10.0,u-anity.uk.html,"Розташування зручне, персонал привітний і чуйний, ...","Розташування зручне, персонал привітний і чуйний, допомагають в будь-якій ситуації, йдуть назустріч, що компенсує відсутність ремонту в номері. Сам номер в цілому комфортний і зручний, але пора його оновити.","4 роки тому зупинялися в цьому ж номері з балконом. За 4 роки номер сильно зносився. Килими вкрилися плямами, стіни теж могли бути чистішим. Загалом - номеру потрібна косметика. Те ж стосується сауни. Ресторан на території не працює, а раніше в ньому був щедрий сніданок."
"Месторасположение, персонал, попугай и гарячая вода.","Месторасположение, персонал, попугай и гарячая вода.","Неудобные подушки, ""уставшее"" состояние номера, плохая шумоизоляция, кто-то кричал в коридоре ночью, когда уже все отдыхали и это было очень слышно.",6.7,10.0,u-anity.uk.html,"Місцезнаходження, персонал, папуга і гаряча вода.","Місцезнаходження, персонал, папуга і гаряча вода.","Незручні подушки, & quota; втомлене & quota; стан номера, погана шумоізоляція, хтось кричав в коридорі вночі, коли вже всі відпочивали та це було дуже чутно."
"Недорогое жилье в центре хорошего качества с приветливым персоналом, рекомендую.","Неплохой завтрак на выбор. Отличное расположение. Красивая территория. Кафе не с ресторанным меню, но с неплохой недорогой кухней. Приветливый, отзывчивый персонал, отдельное спасибо официанту Диане. Качество вполне соответствует цене.",Все понравилось.,9.2,10.0,u-anity.uk.html,"Недороге житло в центрі хорошої якості з привітним персоналом, рекомендую.","Непоганий сніданок на вибір. Відмінне розташування. Красива територія. Кафе ні з ресторанним меню, але з непоганою недорогий кухнею. Привітний, чуйний персонал, окреме спасибі офіціантові Діані. Якість цілком відповідає ціні.",Все сподобалося.
"Приятный персонал, есть возможность оплатить банковской...","Приятный персонал, есть возможность оплатить банковской картой.","Отсутствует фен, тапочки, телевизор старый кинескопный, ковролин (мягко говоря) уставший, цена явно завышена.",7.9,10.0,u-anity.uk.html,"Приємний персонал, є можливість оплатити банківською ...","Приємний персонал, є можливість оплатити банківською картою.","Відсутня фен, тапочки, телевізор старий Кінескоп, ковролін (м & #39; яко кажучи) втомлений, ціна явно завищена."
Старый ремонт и грязные гардины,"Неплохой завтрак, есть и сок и кофе и тосты с маслом. На выбор-омлет, яичница с беконом и др. Есть маленькая стоянка на 3-4 машины","Ужасно грязное покрытие на полу, шторы и гардины стирались лет 10 назад. В мотеле все давным давно нужно освежить. Мы останавливались в двухкомнатном номере. Стоимость 980 грн, но это того не стоит. Хозяин только зарабатывает , но  вкладывать ничего не хочет.",3.8,10.0,u-anity.uk.html,Старий ремонт і брудні гардини,"Непоганий сніданок, є і сік і каву і тости з маслом. На вибір-омлет, яєчня з беконом і ін. Є маленька стоянка на 3-4 машини","Жахливо брудне покриття на підлозі, штори та гардини стиралися років 10 назад. В мотелі все давним давно потрібно освіжити. Ми зупинялися в двокімнатному номері. Вартість 980 грн, але це того не варто. Господар тільки заробляє, але вкладати нічого не хоче."
"Очень хороший отель, чистый, приятный персонал ","Классное тихое расположение,все очень чисто, улыбчивый очень вежливый персонал. Останавливались в 23 просто переночевать, остались очень довольны! На обратном пути снова выберем этот отель, цена- качество супер",,10.0,10.0,u-anity.uk.html,"Дуже хороший готель, чистий, приємний персонал","Класне тихе розташування, все дуже чисто, усміхнений дуже ввічливий персонал. Зупинялися в 23 просто переночувати, залишилися дуже задоволені! На зворотному шляху знову виберемо цей готель, ціна-якість супер",Nan
