title,pos_text,neg_text,ratingValue,bestRating,hotel
"Чисто, приємний персонал та чиста постіль.","Чисто, приємний персонал та чиста постіль. Смачний сніданок.","Платний шампунь та гель для душу. Відсутність безкоштовної води в номері. Грибок у душовій кабіні, несправність дверей душу, забита каналізація душової кабіни.",7.9,10.0,argo-uzhgorod-hotel.uk.html
Дуже чисті та комфортні номера.,Дуже чисті та комфортні номера . постільна білизна виправна і приємно пахне! Смачні сніданки та привітний персонал . Ціни приємно вразили) ) зупинялись тут двічі і дуже задоволені,Nan,10.0,10.0,argo-uzhgorod-hotel.uk.html
Не рекомендую,Nan,"Диван жахливий, розламаний . Сніданок окрема тема . Ми подорожували 4, троє дорослих і дитина 3 років . Сніданок принесли лише на 3 дорослих . Офіціант запропонувала з напоїв каву, чай, кефір, молоко, сік і воду . кожному вибір 2 напої, я попросила каву і молоко для дитини, мені відмовили, оскільки такі варіант як кава і молоко не дають, каву і сік або кава і вода можна . На моє прохання з звернути увагу, що я з дитиною, що сік навіть дорожчий по вартості за молоко, нічого не дало . Я відмовилась від кави на користь молока звичайно, але це відбило всі бажання рекомендувати цей готель друзям і повернутись туди ще раз . Здоровий глузд тут відсутній у персоналу.",5.0,10.0,argo-uzhgorod-hotel.uk.html
Дуже приємний персонал.,"Дуже приємний персонал. Смачні сніданки, на вибір. Дійсно дуже смачні. В номері чисто і затишно.","Не відкривались мансарді вікна, посеред ночі включали кондиціонер . Це єдине, що викликало дискомфорт.",8.3,10.0,argo-uzhgorod-hotel.uk.html
Класно! Дякую!,"Готель сподобався. Ідеальне співвідношення ціна-якість. Приємно вразила чистота білизни, а наявність у приміщенні кафетерію зі смачною кухнею та помірними цінами додала додаткових бонусів готелю. Особлива подяка за сніданки, які входять у вартість проживання: ситно, смачно і навіть корисно!))) Раджу тим, хто планує поїздки в Ужгород!",Nan,8.8,10.0,argo-uzhgorod-hotel.uk.html
Місцерозташування готелю відносно центру зручне (до 20 хв...,"Місцерозташування готелю відносно центру зручне (до 20 хв пішки до пішохідного мосту). Легко знайти та проїхати . Сніданок смачний, є вибір різних варіантів сніданків . сніданок входив вартість номера . В номері загальному чисто . Є кондиціонер, бар - холодильник . Персонал ввічливий.","Готель розташований безпосередньо біля дороги з інтенсивним рухом (зранку шум). Парковка вміщає 3-4 автомобілі. При бронюванні вказав необхідність парковки, по факту прийшлось паркуватись біля дороги. Жив в люксі у номері дуже не вистачає розеток біля ліжка (надзвичайно не зручно) та шафи (замість шафи 2 стійки для одягу) речі прийшлось складати на дивані. Дахові вікна надзвичайно важко відкриваються.",6.3,10.0,argo-uzhgorod-hotel.uk.html
Привітний персонал на рецепції.,"Привітний персонал на рецепції. Зручне розташування, 10 хв до набережної. В готелі є ресторан, де непогано готують, ціни демократичні.","Дівчина, що обслуговує ресторан поводиться так, ніби до неї додому завітали небажані гості. Можна бути трошки привітніше, посміхатись. Старенькі обшарпані ролети на вікнах, пліснява у душовій кабіні.",9.6,10.0,argo-uzhgorod-hotel.uk.html
"смачний сніданок, зручний номер і затишна постіль, привітний ...","смачний сніданок, зручний номер і затишна постіль, привітний персонал . Нормальна звукоізоляція.","Трохи далекого від центру, недалеко цвинтар і шиномонтаж . Трохи пошарпані меблі в номері . Номер не відповідав класу люкс . Якщо вам потрібно залишитись ще на кілька годин, потрібно платити за повну добу, хоча в більшості готелів можна оплатити півдоби принаймні.",7.1,10.0,argo-uzhgorod-hotel.uk.html
Але для 1 ночівлі непогано.,"Сніданок смачний, постіль чиста, привітний персонал.","Ванні приналежності за окрему платню ( наприклад, шампунь), за феном треба йти на рецепцію, ванна кімната просить ремонту.(",7.1,10.0,argo-uzhgorod-hotel.uk.html
Дуже нормальний готель!,"Дуже нормальний готель! Ми їхали сім'єю  2 дорослих і двоє дітей проїздом, ночували 1 ніч. є парковка, нормальні сніданки на вибір.",Все було добре!,7.5,10.0,argo-uzhgorod-hotel.uk.html
"Вірогідно, що зупинюся у цьому готелі ще раз для ночівлі.",Достатньо прийнятний готель як для зупинки на 1-2 ночі. Дуже привітний персонал готелю.,"В номері, як для зими, було дещо прохолодно, в душовій кабанів "" живе "" грибок, що лишає не Гед приємні враження від приймання душу.",7.9,10.0,argo-uzhgorod-hotel.uk.html
В цілому ціна/якість майже співпали.,"Комфортний номер,великий. Ліжко зручне. Ортопедичний матрац. Телевізор. Привітний персонал готеля. Поруч з готелем великий супермаркет, є кафе та ресторан. Також міський ринок.","Третій поверх. З валізами було важко підніматись.  Відстань від готеля до центру міста більша, ніж заявлено на сайті.",7.5,10.0,argo-uzhgorod-hotel.uk.html
Гарно для ночівлі 1-2 дні.,Зустріли вночі. Розмістили. Досить чисто та комфортно. Смачний сніданок.,"Сніданок подається з великою кількістю додаткових інгредієнтів до каші, або млинців . Було б добре, якби в гостів запитували, чи вони хочуть посилку корицею, шоколадом до того, як це зробити . Це було б виявленням доброго тону . Бо сам сніданок смачний, а я і мої члени родини любимо страви в чистому вигляді . Дякую Також Варто звернути увагу на душові кабіни . Дещо підтягти ролики в дверцятах, поновити ущільнювачі, бо воно вже втомилося і дає незручності у користуванні.",7.9,10.0,argo-uzhgorod-hotel.uk.html
