hotel,review_ru,review_uk,ratings
https://www.tripadvisor.ru/Hotel_Review-g298045-d1402681-Reviews-Kaspiy_Hotel-Dnipro_Dnipropetrovsk_Oblast.html,"Сейчас отель имеет новое название, но все так же подходит для проведения бизнес и научных мероприятий в центре города. Даже малюсенькая парковка имеется, да и ужин после заседания вполне вкусный и разнообразный.","Зараз готель має нову назву, але все так само підходить для проведення бізнес і наукових заходів в центрі міста. Навіть маленька парковка є, та й вечерю після засідання цілком смачний і різноманітний.",40
https://www.tripadvisor.ru/Hotel_Review-g298045-d1402681-Reviews-Kaspiy_Hotel-Dnipro_Dnipropetrovsk_Oblast.html,"мнение у меня не однозначное об отеле, но я люблю в нем останавливаться. не мешало бы улучшить сервис - вышкол персонала,режим работы ресторан и т.д. это требует работы. но есть у отеля и плюсы, которые я для себя нашла - мне нравится интерьер, очень нравится оформление ванных комнат, удобный лифт, вкусные завтраки (рекомендую овсянку:)), удобные кровати в которых отлично выспаться, расположение вообще фантастика. а вот вечером поужинать нельзя. даже чай нельзя в номер заказать. если Вы не курите, просите номер для некурящих, так как могут Вас поселить где оооочень пахнет сигаретами.","думка у мене не однозначне інформацією про цей готель, але я люблю в ньому зупинятися . не завадило б поліпшити сервіс - вишкіл персоналу, режим роботи ресторан і т . д . це вимагає роботи . але є у готелю і плюси, які я для себе знайшла - мені подобається інтер & #39; єр, дуже подобається оформлення ванних кімнат, зручний ліфт, смачні сніданки (рекомендую вівсянку :) ), зручні ліжка в яких відмінно виспатися, розташування взагалі фантастика . а от увечері повечеряти можна . навіть чай не можна в номер замовити . якщо Ви не курите, просите номер для некурящих, так як можуть Вас поселити де ду-у-уже пахне сигаретами.",50
https://www.tripadvisor.ru/Hotel_Review-g298045-d1402681-Reviews-Kaspiy_Hotel-Dnipro_Dnipropetrovsk_Oblast.html,"Был в этом отеле летом 2016. При поселении менеджер сразу сообщил, что оплатить можно только наличными, а потом долго ""уговаривал"" меня либо не брать документы, либо согласиться взять не приходно-кассовый ордер, как того требует законодательство, а просто счёт! Дескать их посетители так часто просят. Понятно, что никто не любит платить налоги, но нельзя же это демонстрировать так откровенно-это уж совсем дурной вкус какой-то. Дальше было больше- кондиционер в отеле общий и он издавал жуткие звуки при которых спать просто невозможно. В итоге пришлось спать с открытыми окнами, а они выходили на оживленную улицу. Просил переселить в другой номер, но там было тоже самое, в итоге остался  в своем, все равно никаких улучшений. Жарко, шумно, комары. Если вы это любите, то добро","Був в цьому готелі влітку 2016 . При поселенні менеджер відразу повідомив, що оплатити можна тільки готівкою, а потім довго & quota; умовляв & quota; мене або не брати документи, або погодитися взяти не прибутково - касовий ордер, як того вимагає законодавство, а просто рахунок! Мовляв їх відвідувачі так часто просять . Зрозуміло, що ніхто не любить платити податки, але не можна ж це демонструвати так відверто - це вже зовсім поганий смак якийсь . Далі було більше - кондиціонер в готелі загальний і він видавав моторошні звуки при яких спати просто неможливо . У підсумку довелося спати з відкритими вікнами, а вони виходили на жваву вулицю . Просив переселити в інший номер, але там було те ж саме, в результаті залишився в своєму, все одно ніяких поліпшень . Жарко, шумно, комарі . Якщо ви це любите, то добро",50
https://www.tripadvisor.ru/Hotel_Review-g298045-d1402681-Reviews-Kaspiy_Hotel-Dnipro_Dnipropetrovsk_Oblast.html," пожаловать в Каспий. Интернет в номере толком не работает, думал может мне так не повезло, но утром перед выселением слушал жалобы иностранцев на ресепшене и понял, что тут просто все плохо. Самое обидное, что первоночально в отель вложили хорошие деньги, но сейчас этот этим отелем никто не занимается.","просимо в Каспій . Інтернет в номері толком не працює, думав може мені так не пощастило, але вранці перед виселенням слухав скарги іноземців на ресепшені і зрозумів, що тут просто все погано . Найприкріше, що первоначально в готель вклали великі гроші, але зараз цей цим готелем ніхто не займається.",50
https://www.tripadvisor.ru/Hotel_Review-g298045-d1402681-Reviews-Kaspiy_Hotel-Dnipro_Dnipropetrovsk_Oblast.html,"Очень хороший отель. Очень приветливый и внимательный персонал. Очень вкусные завтраки в  грузинском ресторане. В номере есть тапочки, халат и все мыльные принадлежности. Кровати просто громадные. И все всегда чисто и аккуратно.","Дуже хороший готель. Дуже привітний і уважний персонал. Дуже смачні сніданки в грузинському ресторані. У номері є тапочки, халати і все мильні приналежності. Ліжка просто величезні. І все завжди чисто і акуратно.",50
https://www.tripadvisor.ru/Hotel_Review-g298045-d1402681-Reviews-Kaspiy_Hotel-Dnipro_Dnipropetrovsk_Oblast.html,"Не первый раз останавливаюсь в этом отеле, и ни разу не приходилось жалеть о своем выборе. Наряду со своими постоянными преимуществами такими как: удобное расположение в самом центре Днепропетровска, великолепный интерьер и стиль, высоко профессиональный и позитивный персонал, отель добавил еще и отличное соотношение цена/качество, что особенно отличает его в текущей сложной экономической ситуации. Отель становится привлекательным в этом смысле не только для иностранцев - свидетельство грамотной маркетинговой политики","Не перший раз зупиняюся в цьому готелі, і жодного разу не доводилося шкодувати про свій вибір. Поряд зі своїми постійними перевагами такими як: зручне розташування в самому центрі Дніпропетровська, чудовий інтер&#39;єр і стиль, високо професійний і позитивний персонал, готель додав ще й відмінне співвідношення ціна / якість, що особливо відрізняє його в поточній складній економічній ситуації. Готель стає привабливим в цьому сенсі не тільки для іноземців - свідоцтво грамотної маркетингової політики",40
https://www.tripadvisor.ru/Hotel_Review-g298045-d1402681-Reviews-or5-Kaspiy_Hotel-Dnipro_Dnipropetrovsk_Oblast.html,"Я провел один вечер в отеле Каспий. Номер был просторным и  ванная - чистая. Хорошо для туристов, возможно, ночь или две, расположенный в центре и рядом с несколькими ресторанами и магазинами. Ресторан внизу не работал вечером, заказать легкий завтрак было не возможно.","Я провів один вечір в готелі Каспій. Номер був просторим і ванна - чиста. Добре для туристів, можливо, ніч або дві, розташований в центрі і поряд з кількома ресторанами і магазинами. Ресторан внизу не працював ввечері, замовити легкий сніданок було не можливо.",30
https://www.tripadvisor.ru/Hotel_Review-g298045-d1402681-Reviews-or5-Kaspiy_Hotel-Dnipro_Dnipropetrovsk_Oblast.html,"Я провел один вечер в отеле Каспий. Номер был просторным и  ванная - чистая. Хорошо для туристов, возможно, ночь или две, расположенный в центре и рядом с несколькими ресторанами и магазинами. Ресторан внизу не работал вечером, заказать легкий завтрак было не возможно.","Я провів один вечір в готелі Каспій. Номер був просторим і ванна - чиста. Добре для туристів, можливо, ніч або дві, розташований в центрі і поряд з кількома ресторанами і магазинами. Ресторан внизу не працював ввечері, замовити легкий сніданок було не можливо.",30
https://www.tripadvisor.ru/Hotel_Review-g298045-d1402681-Reviews-or5-Kaspiy_Hotel-Dnipro_Dnipropetrovsk_Oblast.html,"Уютный и очень комфортабельный отель в самом центре города для любого визита в Днепропетровск и в любое время года и сможет предоставить полный комплекс гостиничных услуг на высочайшем уровне по приемлемой цене. Неоднократно останавливался в этом отеле сам или совместно с коллегами и никогда не сомневался в правильности выбора, подсказанного нашими партнерами в Днепропетровске. Помимо позитива, получаемого от пребывания в самом отеле, каждый раз отмечаю удобство расположения отеля как для проведения деловых встреч в городе, для организации поездки в любую часть города, так и достойного времяпрепровождения как в компании партнеров по бизнесу, так и добрых друзей-местных жителей","Затишний і дуже комфортабельний готель в самому центрі міста для будь - якого візиту в Дніпропетровськ і в будь - який час року і зможе надати повний комплекс готельних послуг на найвищому рівні за прийнятною ціною . Неодноразово зупинявся в цьому готелі сам або спільно з колегами і ніколи не сумнівався в правильності вибору, показаного нашими партнерами в Дніпропетровську . Крім позитиву, одержуваного від перебування в самому готелі, кожен раз наголошую зручність розташування готелю як для проведення ділових зустрічей в місті, для організації поїздки в будь - яку частину міста, так і гідного проведення часу як в компанії партнерів по бізнесу, так і добрих друзів - місцевих жителів",50
https://www.tripadvisor.ru/Hotel_Review-g298045-d1402681-Reviews-or5-Kaspiy_Hotel-Dnipro_Dnipropetrovsk_Oblast.html,"Это новый отель, который не так характерен для Днепропетровска. Номер и ванная просторные. Это место, рядом с центром города. Завтрак плохой, и место на завтрак очень холодное. Это хороший отель для коротких деловых поездок и одиночек","Це новий готель, який не так характерний для Дніпропетровська. Номер і ванна просторі. Це місце, поруч з центром міста. Сніданок поганий, і місце на сніданок дуже холодне. Це хороший готель для коротких ділових поїздок і одинаків",40
