hotel,review_ru,review_uk,ratings
https://www.tripadvisor.ru/Hotel_Review-g303930-d548386-Reviews-Nadiya_Hotel-Ivano_Frankivsk_Ivano_Frankivsk_Oblast.html,"Был в 2019 летом в самом дешевом номере. Чисто, уютно, вид хороший, приятный персонал, близко от ЖД вокзала. Остался очень доволен. Рядом много заведений где можно покушать и хорошо провезти время. Городок мал, смотреть особо нечего, но уютно без лишней суеты.","Був в 2019 влітку в найдешевшому номері. Чисто, затишно, вид хороший, приємний персонал, близько від залізничного вокзалу. Залишився дуже задоволений. Поруч багато закладів де можна поїсти і добре провезти час. Городок малий, дивитися особливо нема чого, але затишно без зайвої суєти.",50
https://www.tripadvisor.ru/Hotel_Review-g303930-d548386-Reviews-Nadiya_Hotel-Ivano_Frankivsk_Ivano_Frankivsk_Oblast.html,"Были в командировке в Ивано-Франковске, проживали в отеле ""Надежда"" и остались очень довольны. Завтрак шведский стол разнообразен, в зале очень чисто и приятные, аккуратные официанты. Еда очень вкусно приготовлена.Обедали в банкетном зале, просто очень круто, блюда вкуснейшие.","Були у відрядженні в Івано - Франківську, проживали в готелі & quota; Надія & quota; і залишилися дуже задоволені . Сніданок шведський стіл різноманітний, в залі дуже чисто і приємні, акуратні офіціанти . Їжа дуже смачно приготовлена . обеда в банкетному залі, просто дуже круто, страви дуже смачні.",50
https://www.tripadvisor.ru/Hotel_Review-g303930-d548386-Reviews-Nadiya_Hotel-Ivano_Frankivsk_Ivano_Frankivsk_Oblast.html,"Все прекрасно. Чистые номера на любой вкус и кошелёк, прекрасные рестораны. Персонал очень приветливый. Забытую вещь из номера принесли сразу же. Завтрак шведский стол и очень вкусный. Расположение отеля самое прекрасное, на главной площади города. Один из лучших отелей, где я была в Украине. The best! ","Все чудово. Чисті номери на будь-який смак і гаманець, чудові ресторани. Персонал дуже привітний. Забуту річ з номера принесли відразу ж. Сніданок шведський стіл і дуже смачний. Розташування готелю найпрекрасніше, на головній площі міста. Один з кращих готелів, де я була в Україні. The best!",50
https://www.tripadvisor.ru/Hotel_Review-g303930-d548386-Reviews-Nadiya_Hotel-Ivano_Frankivsk_Ivano_Frankivsk_Oblast.html,"Прекрасный сервис, отзывчивый персонал, проводили семинар на территории гостиницы, поэтому попробовали всё: жили в номерах с регулярной уборкой, проводили мероприятие в конференц зале (присутствует любая техника напрокат, возможно заказать брендированную продукцию), завтраки - сытные и вкусные, ужины - от торжественного до делового, есть салон красоты.","Прекрасний сервіс, чуйний персонал, проводили семінар на території готелю, тому спробували все: жили в номерах з регулярною прибиранням, проводили захід у конференц залі (присутній будь - яка техніка напрокат, можливо замовити брендовані продукцію), сніданки - ситні і смачні, вечері - від урочистого до ділового, є салон краси.",50
https://www.tripadvisor.ru/Hotel_Review-g303930-d548386-Reviews-Nadiya_Hotel-Ivano_Frankivsk_Ivano_Frankivsk_Oblast.html,"Хорошая гостиница, с нормальными ценами, качественным обслуживанием, а главное чистыми номерами и ухоженной территорией! Если еще когда-то придется побывать в Ивано-Франковске, обязательно тут остановлюсь.","Хороший готель, з нормальними цінами, якісним обслуговуванням, а головне чистими номерами і доглянутою територією! Якщо ще колись доведеться побувати в Івано-Франківську, обов&#39;язково тут зупинюся.",50
https://www.tripadvisor.ru/Hotel_Review-g303930-d548386-Reviews-or5-Nadiya_Hotel-Ivano_Frankivsk_Ivano_Frankivsk_Oblast.html,"Отель в центре города. Отель довольно современный, чистые номера. В полулюксе есть чайник, чай. В ванне шампунь, мыло. Завтраки в виде «шведского стола» хорошие, выбор блюд достаточный. Все понравилось, правда единственный минус немного прохладно в номерах.","Готель в центрі міста . Готель досить сучасний, чисті номери . У напівлюкс є чайник, чай . У ванні шампунь, мило . сніданки у вигляді « шведського столу » хороші, вибір страв достатній . Все сподобалося, правда єдиний мінус трохи прохолодно в номерах.",50
https://www.tripadvisor.ru/Hotel_Review-g303930-d548386-Reviews-or5-Nadiya_Hotel-Ivano_Frankivsk_Ivano_Frankivsk_Oblast.html,"Пять лет подряд в Ивано-Франковске останавливаемся в ""Надие"". Уютный, чистый, современный отель. Номера в стиле прованс, начиная с полулюксов, просторные и уютные. В номере есть чайник и чайный набор (чай, кофе, сахар), пополняется каждый день, а также мини-косметика. Персонал вежливый и услужливый. Завтраки хорошие и сытные, большой выбор блюд на шведском столе. При гостинице есть магазин-кафе ""Деликатес"", где продаются продукты собственного производства (мясные, рыбные блюда, колбасы, сардельки, мясные деликатесы, салаты, соленья, блинчики, выпечка и пирожные). В этом году были разочарованы качеством сарделек на шведском столе и в магазине (всегда, уезжая покупали мясную продукию домой). Очень подорожала парковка (75 грн. в сутки), при такой цене номеров (хорошо повысилась","П & #39; ять років поспіль в Івано - Франківську зупиняємося в & quota; надіне & quota; . Затишний, чистий, сучасний готель . Номери в стилі Прованс, починаючи з напівлюкс, просторі і затишні . У номері є чайник і чайний набір (чай, кава, цукор), поповнюється щодня, а також міні - косметика . Персонал ввічливий і послужливо . сніданки хороші і ситні, великий вибір страв на шведському столі . При готелі є магазин - кафе & quota; делікатес & quota;, де продаються продукти власного виробництва (м & #39; ясні, рибні страви, ковбаси, сардельки, м & #39; ясні делікатеси, салати, соління, млинчики, випічка та тістечка). У цьому році були розчаровані якістю сардельок на шведському столі і в магазині (завжди, їдучи купували м & #39; ясну продукт додому). Дуже подорожчала парковка (75 грн . На добу), при такій ціні номерів (добре підвищилася",40
https://www.tripadvisor.ru/Hotel_Review-g303930-d548386-Reviews-or5-Nadiya_Hotel-Ivano_Frankivsk_Ivano_Frankivsk_Oblast.html,"Очень хорошее расположение - центр города, у отеля большая парковка. Интерьер в номере немного староват, но сам номер чистый. Персонал вежливый, учтивый. Чудесный ресторан и завтраки (большой выбор на шведском столе и вкусно)","Дуже гарне розташування - центр міста, біля готелю велика парковка. Інтер&#39;єр в номері трохи застарий, але сам номер чистий. Персонал ввічливий, чемний. Чудовий ресторан і сніданки (великий вибір на шведському столі і смачно)",50
https://www.tripadvisor.ru/Hotel_Review-g303930-d548386-Reviews-or5-Nadiya_Hotel-Ivano_Frankivsk_Ivano_Frankivsk_Oblast.html,"Очень чистый, аккуратный отель. Персонал вежливый и внимательный.  Мебель в номерах чистая, не убитая, белье постельное белоснежное, выглаженное. Полотенца в ванной белоснежные. Душевая кабина, унитаз- все в чистом виде. В ресторане также все на высоком уровне. Рекомендую всем.","Дуже чистий, акуратний готель . Персонал ввічливий і уважний . Меблі в номерах чиста, не вбита, білизна постільна білосніжне, випрасувані . Рушники у ванній білосніжні . душова кабіна, унітаз - все в чистому вигляді . У ресторані також все на високому рівні . Рекомендую всім.",50
https://www.tripadvisor.ru/Hotel_Review-g303930-d548386-Reviews-or10-Nadiya_Hotel-Ivano_Frankivsk_Ivano_Frankivsk_Oblast.html,"Отель очень чистый, номера просторные. Персонал отеля очень приятный и вежливый. Нам бесплатно повысили категорию номера, потому что в отеле были свободные номера. За эти деньги просто отличное место.  Минусом можно считать платную парковку.","Готель дуже чистий, номери просторі. Персонал готелю дуже приємний і ввічливий. Нам безкоштовно підвищили категорію номера, тому що в готелі були вільні номери. За ці гроші просто відмінне місце. Мінусом можна вважати платну парковку.",50
