hotel,review_ru,review_uk,ratings
https://www.tripadvisor.ru/Hotel_Review-g295369-d3262126-Reviews-Hotel19-Kharkiv_Kharkiv_Oblast.html,"Бронировали номер в Отеле 19 перед свадьбой. Остались довольны сервисом: вежливый персонал, чистый и красивый номер. НО в номере 8, где мы ночевали, явные проблемы с вентиляцией - кондиционер есть, но мы так и не нашли регулятора внутри, в номере было попросту душно, когда открыли вечером окна, чтобы хоть как-то стало легче - оттуда был слышен гул выносных блоков кондиционеров (насколько мы поняли, номер «угловой», окна выходят в стену соседнего дома, поэтому просто обвешан снаружи ими). В общем, по сути, спать было невозможно - из-за шума и духоты. При чем это номер категории Superior, и было бы неплохо, если бы администратор предупредил о таком «нюансе», ведь номер бронировали больше чем за месяц, тем более, что мы говорили, что бронируем его на ночь перед свадьбой","бронювали номер в готелі 19 перед весіллям . Залишилися задоволені сервісом: ввічливий персонал, чистий і красивий номер . АЛЕ в номері 8, де ми ночували, явні проблеми з вентиляцією - кондиціонер є, але ми так і не знайшли регулятора всередині, в номері було просто душно, коли відкрили ввечері вікна, щоб хоч якось стало легше - звідти було чути гул виносних блоків кондиціонерів (наскільки ми зрозуміли, номер « кутовий », вікна виходять в стіну сусіднього будинку, тому просто обвішаний зовні ними). Загалом, по суті, спати було неможливо - через шум і духоти . При чому це номер категорії Superior, і було б непогано, якби адміністратор попередив про такий « нюанс », адже номер бронювали більше ніж за місяць, тим більше, що ми говорили, що бронює його на ніч перед весіллям",30
https://www.tripadvisor.ru/Hotel_Review-g295369-d3262126-Reviews-Hotel19-Kharkiv_Kharkiv_Oblast.html,"В очередной раз остановился в отеле 19 и в очередной раз все было на высшем уровне. Обслуживание, номера, завтрак в общем здесь вы найдете все, что необходимо для отличного отдыха. Отель находится практически в центре и от него рукой подать до кафе и ресторанов, большое количество которых расположилось в том же районе. Один из лучших отелей в Харькове. Рекомендую.","В черговий раз зупинився в готелі 19 і в черговий раз все було на вищому рівні. Обслуговування, номера, сніданок в загальному тут ви знайдете все, що необхідно для чудового відпочинку. Готель знаходиться практично в центрі і від нього рукою подати до кафе і ресторанів, велика кількість яких розташувалося в тому ж районі. Один з кращих готелів в Харкові. Рекомендую.",50
https://www.tripadvisor.ru/Hotel_Review-g295369-d3262126-Reviews-Hotel19-Kharkiv_Kharkiv_Oblast.html,"Каждый раз, когда еду в Харьков, стараюсь остановиться в Отель 19. Мне очень нравится уютный интерьер, декорированный в классическом стиле, номера (несмотря на то что некоторые кажутся миниатюрными), обслуживание и т.д. Удобные кровати и отличная шумоизоляция позволяют хорошо отдохнуть от суеты рабочего дня и расслабится в спокойной обстановке. Несмотря на размеры, в номере есть все необходимое: удобная кровать, кондиционер, хорошо оборудованный сан узел, небольшой стол со стульями, за которым можно поработать или просто посидеть, минибар, шкаф с сейфом. В номере также предоставляется халат, тапочки и бесплатная бутылка воды. По поводу завтрака ничего сказать не могу, но ланч бокс был неплохой. Хороший отель. Рекомендую.","Кожен раз, коли їду в Харків, намагаюся зупинитися в готелі 19 . Мені дуже подобається затишний інтер & #39; єр, декорований в класичному стилі, номера (не дивлячись на те що деякі здаються мініатюрними), обслуговування і т . д . Зручні ліжка і відмінна шумоізоляція дозволяють добре відпочити від суєти робочого дня і розслабиться в спокійній обстановці . Незважаючи на розміри, в номері є все необхідне: зручне ліжко, кондиціонер, добре обладнаний сан вузол, невеликий стіл зі стільцями, за яким можна попрацювати або просто посидіти, міні-бар, шафа з сейфом . У номері також надається халат, тапочки та безкоштовна пляшка води . З приводу сніданку нічого сказати не можу, але ланч бокс був непоганий . Хороший готель . Рекомендую.",50
https://www.tripadvisor.ru/Hotel_Review-g295369-d3262126-Reviews-Hotel19-Kharkiv_Kharkiv_Oblast.html,"Первый в моей жизни визит в Харьков был очень успешным и во многом это заслуга Отеля 19.  Трансфер: встретили с табличкой на перроне. Поздний заезд в отель. Приветливо встретили, занесли вещи, вручили скидку на ресторан. Номер очень красивый и уютный. Есть все необходимое. Шикарный матрас - просто терапия для вашего позвоночника. Хорошая ванная комната. Такого полного мини-бара я еще не встречала. Завтраки интересные и вкусные: мне полюбилась овсяная каша на воде с трюфельной пастой и пармезаном.  Отель 19 просто задал хорошее настроение моей командировке. Никакого дискомфорта! С удовольствием вернусь к Вам снова!","Перший в моєму житті візит до Харкова був дуже успішним і багато в чому це заслуга Готелю 19. Трансфер: зустріли з табличкою на пероні. Пізній заїзд в готель. Привітно зустріли, занесли речі, вручили знижку на ресторан. Номер дуже красивий і затишний. Є все необхідне. Шикарний матрац - просто терапія для вашого хребта. Гарна ванна кімната. Такого повного міні-бару я ще не зустрічала. Сніданки цікаві і смачні: мені полюбилася вівсяна каша на воді з трюфеля пастою і пармезаном. Готель 19 просто задав гарний настрій моєї відрядженні. Ніякого дискомфорту! Із задоволенням повернуся до Вас знову!",50
https://www.tripadvisor.ru/Hotel_Review-g295369-d3262126-Reviews-Hotel19-Kharkiv_Kharkiv_Oblast.html,"Новый, уютный, шикарный отель в центре города с хорошим рестораном. Достойный набор косметики и разной необходимой мелочи, удобные и мягкие кровати, много розеток, хорошая уборка, вежливый и приятный персонал... Завтраки меня покорили, таких вкусных завтраков я ещё не ела. Моим фаворитом были яйца пашот на хрустящих тостах с сёмгой и с нежным сырным соусом. Я поймала себя на мысли, что я жмурюсь от удовольствия))) В этом отеле сделано всё для комфорта и удобства гостей. мне понравилось все. Я отлично отдохнула. Большое вам спасибо.","Новий, затишний, шикарний готель в центрі міста з хорошим рестораном . Гідний набір косметики і різної необхідної дрібниці, зручні і м & #39; які ліжка, багато розеток, хороша прибирання, ввічливий і приємний персонал...сніданки мене підкорили, таких смачних сніданків я ще не їла . Моїм фаворитом були яйця Ашот на хрустких постах з сьомгою і з ніжним сирним соусом . Я зловила себе на думці, що я мружився від задоволення) )) В цьому готелі зроблено все для комфорту і зручності гостей . мені сподобалося все . Я відмінно відпочила . Велике вам спасибі.",50
https://www.tripadvisor.ru/Hotel_Review-g295369-d3262126-Reviews-or5-Hotel19-Kharkiv_Kharkiv_Oblast.html,"Хороший отель. Нравится антураж, чистота и уют. Отель находится в центре, но спрятан во дворике. В каждом номере небольшое количество книг, которые можно почитать в удобное время. Автомобильная стоянка находится недалеко от отеля. ","Хороший готель. Подобається антураж, чистота і затишок. Готель знаходиться в центрі, але захований у дворику. У кожному номері невелика кількість книг, які можна почитати в зручний час. Автомобільна стоянка знаходиться недалеко від готелю.",40
https://www.tripadvisor.ru/Hotel_Review-g295369-d3262126-Reviews-or5-Hotel19-Kharkiv_Kharkiv_Oblast.html,"Мы останавливались двоем на 3 дня и следующие впечатления: — дружелюбный вежливый и ненавязчивый персонал — немного вычурный (ощущение, что попали в книгу Алиса в стране чудес) дизайн, но в итоге он оставляет приятное праздничное ощущение — в комнате все идеально с точки зрения чистоты (либо отель новый, либо недавно был ремонт) — прекрасные завтраки, такие что до ужина не хочется есть","Ми зупинялися вдвоем на 3 дні і такі враження: - доброзичливий ввічливий і ненав & #39; лякливий персонал - трохи химерний (відчуття, що потрапили в книгу Аліса в країні чудес) дизайн, але в підсумку він залишає приємне святкове відчуття - в кімнаті все ідеально з точки зору чистоти (або готель новий, або недавно був ремонт) - прекрасні сніданки, такі що до вечері не хочеться їсти",50
https://www.tripadvisor.ru/Hotel_Review-g295369-d3262126-Reviews-or5-Hotel19-Kharkiv_Kharkiv_Oblast.html,"это обычная квартирка, которую вам сдают. удобное расположение в центре города. из позитива все.. шумно, ооооооочень шумно! окно лучше не открывать. ремонт не свежий. завтрак вам не предложат. было что-то еще плохое, но что не помню ,:) не рекомендую вам это жилье","це звичайна квартира, яку вам здають . зручне розташування в центрі міста . з позитиву все .. шумно, ГООООООЛ шумно! вікно краще не відкривати . ремонт не свіжий . сніданок вам не запропонують . було щось ще погане, але що не пам & #39; ятаю, :) не рекомендую вам це житло",20
https://www.tripadvisor.ru/Hotel_Review-g295369-d3262126-Reviews-or5-Hotel19-Kharkiv_Kharkiv_Oblast.html,"Отель размещен близко к центру, во дворе ул.Сумская. Отель в старом доме, с высокими потолками и такими же дверями. В номере все необходимое - вода, халат, сейф, белье и полотенца. Некоторый перебор с деталями - вазочки, коробочки, фигурка свинки, но в целом очень уютно. Персонал отлично решал любые вопросы и единственный недостаток - холодильник в номере, который стоял вне шкафчика и тарахтел как карманный трактор. Завтраки по заказу - можно выбрать два блюда из трёх групп: каша, яйца или салат, вареники или сырники + кофе, сок, выпечка. Немного долго, но если попросить приготовят быстро. ","Готель розміщений близько до центру, у дворі вул.Сумська. Готель в старому будинку, з високими стелями і такими ж дверима. У номері все необхідне - вода, халат, сейф, білизна і рушники. Деякий перебір з деталями - вазочки, коробочки, фігурка свинки, але в цілому дуже затишно. Персонал відмінно вирішував будь-які питання і єдиний недолік - холодильник в номері, який стояв поза шафки і торохтів як кишеньковий трактор. Сніданки на замовлення - можна вибрати два блюда з трьох груп: каша, яйця або салат, вареники або сирники + кава, сік, випічка. Трохи довго, але якщо попросити приготують швидко.",50
https://www.tripadvisor.ru/Hotel_Review-g295369-d3262126-Reviews-or5-Hotel19-Kharkiv_Kharkiv_Oblast.html,"Очень уютный атмосферный отель, с высокими стандартами сервиса и чистоты. Изюминка отеля - это не только оригинально оформленные номера, а, прежде всего, подобранный персонал. Здесь, действительно, чувствуешь себя, как дома)","Дуже затишний атмосферне готель, з високими стандартами сервісу і чистоти. Родзинка готелю - це не тільки оригінально оформлені номери, а, перш за все, підібраний персонал. Тут, дійсно, відчуваєш себе, як вдома)",50
