hotel,review_ru,review_uk,ratings
https://www.tripadvisor.ru/Hotel_Review-g298059-d1390323-Reviews-Hotel_Uzhgorod-Uzhhorod_Zakarpattia_Oblast.html,"Приехали на соревнования с детьми, номер по европейской цене около 1300 грн, как положено... Но! За такие деньги в номере нет одноразовых тапочек. Как?  В соседнем номере у девочек были муравьи, много муравьёв.   Ресторан внизу работает до 19:30, и то в меню только хлеб и суп. Попросила продать варёное яйцо, посчитали за 20 грн...   На ресепшн не очень дружелюбные товарищи сидят. В следующий раз вряд ли остановимся там.   Хотя месторасположение хорошее, но рядом особо ресторанов нет.","Приїхали на змагання з дітьми, номер за європейською ціною близько 1300 грн, як годиться ... Але! За такі гроші в номері немає одноразових капців. Як? У сусідньому номері у дівчаток були мурахи, багато мурашок. Ресторан внизу працює до 19:30, і то в меню тільки хліб і суп. Попросила продати варене яйце, порахували за 20 грн ... На ресепшн не надто доброзичливі товариші сидять. Наступного разу навряд чи зупинимося там. Хоча розташування хороше, але поруч особливо ресторанів немає.",30
https://www.tripadvisor.ru/Hotel_Review-g298059-d1390323-Reviews-Hotel_Uzhgorod-Uzhhorod_Zakarpattia_Oblast.html,"В середине ноября провёл в отеле три ночи. Отель расположен на берегу реки Уж, в пешей доступности (7 - 10 минут от исторического центра города). Номера просторные, чистые, без посторонних запахов. Уборка в номере и замена полотенец  ежедневно, в стоимость проживания включены довольно плотный завтрак с широким выбором продуктов, овощей и фруктов. Перед отелем расположена бесплатная стоянка.  Одно но, в один из вечеров ресторан в отеле был закрыт на обслуживание, альтернативы поужинать в отеле не было, пришлось идти в город.","В середині листопада провів в готелі три ночі. Готель розташований на березі річки Уж, в пішій доступності (7 - 10 хвилин від історичного центру міста). Номери просторі, чисті, без сторонніх запахів. Прибирання в номері і заміна рушників щодня, у вартість проживання включено досить щільний сніданок з широким вибором продуктів, овочів і фруктів. Перед готелем розташована безкоштовна стоянка. Одне але, в один з вечорів ресторан в готелі був закритий на обслуговування, альтернативи повечеряти в готелі не було, довелося йти в місто.",50
https://www.tripadvisor.ru/Hotel_Review-g298059-d1390323-Reviews-Hotel_Uzhgorod-Uzhhorod_Zakarpattia_Oblast.html,"20 лет без ремонта.(  Ресторан закрылся ( уволились сотрудники )в дежурном режиме до 12 дня работает .... Все как в 90х....  если у кого ностальгия по тем временам и сервису - вам сюда !!! В номерах старые матрасы,подушки , одеяльца на двухспальной кровати как на одного ребёнка !! Было когда то хорошо- но все закончилось! Отель умер ! ","20 років без ремонту . (Ресторан закрився (звільнилися співробітники) в черговому режимі до 12 дня працює .... Все як в 90 х .... якщо у кого ностальгія за тими часами і сервісу - вам сюди!!! У номерах старі матраци, подушки, ковдри на спальному ліжку як на одну дитину!! Було колись добре - але все закінчилося! Готель помер!",10
https://www.tripadvisor.ru/Hotel_Review-g298059-d1390323-Reviews-Hotel_Uzhgorod-Uzhhorod_Zakarpattia_Oblast.html,"Останавливались в этом отеле с семьей в конце апреля. Самый большой плюс - просторные номера и свежее постельное белье. А также завтраки: без изысков, но вполне сносно и приемлемо. Но! Самый огромный минус - запах канализации в номере! Причем не я один на это недостаток обращаю внимание в своем отзыве. При заселении дверь номера была открыта нараспашку, что меня немного удивило. Но, вернувшись в отель после короткой прогулки, все стало ясно. Номера проветривают, чтобы избавится от запаха застоявшейся воды, который идет, судя по всему, из сточных труб. После этого сложно было найти плюсы в отеле - сплошные минусы. Начиная от телевизора из 90-х, который работал без звука и показывал два канала в отвратительном качестве. И заканчивая растрескавшимся корпусом электрического","зупинялися в цьому готелі з сім & #39; єю в кінці квітня . Найбільший плюс - просторі номери і свіжа постільна білизна . А також сніданки: без вишукувань, але цілком стерпно і прийнятно . Але! Самий величезний мінус - запах каналізації в номері! Причому не я один на це недолік звертаю увагу в своєму відгуку . При заселенні двері номера була відкрита навстіж, що мене трохи здивувало . Але, повернувшись в готель після короткої прогулянки, все стало ясно . Номери провітрюють, щоб позбавиться від запаху заставної води, який йде, судячи з усього, з стічних труб . Після цього складно було знайти плюси в готелі - суцільні мінуси . Починаючи від телевізора з 90-х, який працював без звуку і показував два канали в огидно якості . І закінчуючи потріскалися корпусом електричного",20
https://www.tripadvisor.ru/Hotel_Review-g298059-d1390323-Reviews-Hotel_Uzhgorod-Uzhhorod_Zakarpattia_Oblast.html," обогревателя, встроенного в полотенце сушитель, что представляло реальную опасность для жизни.  В общем, Ужгород рекомендую для посещения, но отель лучше подобрать другой.","обігрівача, вбудованого в рушник душитель, що представляло реальну небезпеку для життя . Загалом, Ужгород рекомендую для відвідування, але готель краще підібрати інший.",40
https://www.tripadvisor.ru/Hotel_Review-g298059-d1390323-Reviews-or5-Hotel_Uzhgorod-Uzhhorod_Zakarpattia_Oblast.html,"Безусловно, мое сердце отдано этому городу. Отель особенный. Объехав Украину, он не такой как все. Вид с балкончиков для курение на автомобильное кольцо, реку Уж и тихую размеренную жизнь городка. Завтраки тоже особенные, все тот же пианист и белый рояль))) номер подкачал. Первое. Почему-то небыло холодильника вообще, второе грязновато. Замена полотенец, заправка кровати каждый день. ","Безумовно, моє серце віддано цьому місту . Готель особливий . Об & #39; їхавши України, він не такий як усі . Вид з балкончик для куріння на автомобільне кільце, річку Уж і тихе розмірене життя містечка . сніданки теж особливі, все той же піаніст і білий рояль) )) номер підкачав . Перше . Чомусь не було холодильника взагалі, друге брудно . Заміна рушників, заправка ліжка кожен день.",50
https://www.tripadvisor.ru/Hotel_Review-g298059-d1390323-Reviews-or5-Hotel_Uzhgorod-Uzhhorod_Zakarpattia_Oblast.html,"Люди!! НИКОГДА не останавливайтесь в этом отеле!! Начитплась отзывов, где люди пишут, что не нужно рисковать, жить нужно в этом отеле и все такое.  Забронировала номер Делюкс за 1025 грн. На рисепшене уже стало понятно, что 'да здравствует совок'. Поднялись в номер,  там полный алес. Покрытие старое, вытертое, выцвевшее, дырки от сигарет. В номере вонь сигаретами и кабаком. В туалете разит ужасно, сантехника старая и ржавая. Вылетели из номера с вещами и уехали в другой город.  Не могу понять, КТО набил им рейтинг 8.3?????!!","Люди!! НІКОЛИ не зупиняйтеся в цьому готелі!! намітилась відгуків, де люди пишуть, що не потрібно ризикувати, жити потрібно в цьому готелі і таке інше . забронювала номер Делюкс за 1025 грн . На ресепшені вже стало зрозуміло, що & #39; хай живе совок & #39; . Піднялися в номер, там повний Алес . Покриття старе, витерті, вицвілі, дірки від сигарет . У номері сморід сигаретами і шинком . В туалеті тхне жахливо, сантехніка стара і іржава . Вилетіли з номера з речами і поїхали в інше місто . Не можу зрозуміти, ХТО набив їм рейтинг 8.3?????!!",10
https://www.tripadvisor.ru/Hotel_Review-g298059-d1390323-Reviews-or5-Hotel_Uzhgorod-Uzhhorod_Zakarpattia_Oblast.html,"Постараюсь быть объективной. В ужгороде жила первый раз - сравнивать не с чем. Поэтому просто перечилю плюсы и минусы. Плюс: расположение. Близко к центру и жд вокзалу.  Минусы: не работали половина розеток в номере и соответственно торшеры и настольные лампы т.о. в номере было тускло,также не работал кондиционер. Кровати ОЧЕНЬ скрипучие и не очень удобные, но еще хуже подушки! Такое впечатление что это кусок одеяла, настолько они плоские! Ванна довольно тесная, геля для душа нет (только шампунь и мыло). На завтрак выдаются талоны при предьявлении ключей (система мне не совсем понятна). В туалете на ресепшене в течение 3 дней проживания отсутствовало мыло. Понимаю что для многих это мелочи, но возможно для кого то будет полезно. В целом все НЕПЛОХО.","Постараюся бути об & #39; єктивною . В Ужгороді жила перший раз - порівнювати ні з чим . Тому просто перечила плюси і мінуси . Плюс: розташування . Близько до центру та залізничного вокзалу . Мінуси: не працювали половина розеток в номері і відповідно торшери та настільні лампи т . ч . в номері було тьмяно, також не працював кондиціонер . Ліжка ДУЖЕ скрипучі і не дуже зручні, але ще гірше подушки! Таке враження що це шматок ковдри, настільки вони плоскі! Ванна досить тісний, гелю для душу немає (тільки шампунь і мило). На сніданок видаються талони при пред & #39; явленні ключів (система мені не зовсім зрозуміла). В туалеті на ресепшені протягом 3 днів проживання відсутнє мило . Розумію що для багатьох це дрібниці, але можливо для кого то буде корисно . В цілому все непогано.",30
https://www.tripadvisor.ru/Hotel_Review-g298059-d1390323-Reviews-or5-Hotel_Uzhgorod-Uzhhorod_Zakarpattia_Oblast.html,"Не плохой Отель, стоит почти в центре города на берегу реки Уж. Приятный персонал, не плохие номера, есть вопросы к чистоте их, но не значительные. Хорошие завтраки. В целом стоит побывать как в городе, так и в этом отеле. ","Не поганий Готель, коштує майже в центрі міста на березі річки Уж. Приємний персонал, не погані номери, є питання до чистоти їх, але не значні. Хороші сніданки. В цілому варто побувати як в місті, так і в цьому готелі.",40
https://www.tripadvisor.ru/Hotel_Review-g298059-d1390323-Reviews-or5-Hotel_Uzhgorod-Uzhhorod_Zakarpattia_Oblast.html,"Приезжали на выходные. Много гуляли, и нужно было только переночевать, решили остановиться в гостинице Ужгород. Номер чистый и аккуратный, есть все, что нужно. Завтрак хороший. В целом неплохо, комфортно и бюджетно.","Приїжджали на вихідні . Багато гуляли, і потрібно було тільки переночувати, вирішили зупинитися в готелі Ужгород . Номер чистий і акуратний, є все, що потрібно . Сніданок хороший . В цілому непогано, комфортно і бюджетно-.",50
